region,confirmed,deaths,recovered
Abra,3,0,0
Agusan del Norte,1,0,0
Aklan,7,0,0
Albay,12,0,0
Antique,1,0,0
Bataan,37,0,0
Batangas,78,0,0
Benguet,20,0,0
Bohol,1,0,0
Bukidnon,1,0,0
Bulacan,99,0,0
Cagayan,15,0,0
Camarines Sur,8,0,0
Camiguin,1,0,0
Capiz,4,0,0
Catanduanes,2,0,0
Cavite,184,0,0
Cebu,42,0,0
Compostela Valley,2,0,0
Cotabato (North Cotabato),3,0,0
Cotabato City (not a province),6,0,0
Davao Oriental,3,0,0
Davao del Norte,11,0,0
Davao del Sur,81,0,0
Ilocos Norte,3,0,0
Ilocos Sur,1,0,0
Iloilo,20,0,0
Isabela,9,0,0
La Union,14,0,0
Laguna,219,0,0
Lanao del Norte,6,0,0
Lanao del Sur,7,0,0
Maguindanao,1,0,0
Marinduque,4,0,0
Misamis Occidental,2,0,0
Misamis Oriental,2,0,0
NCR,3698,0,0
Negros Occidental,10,0,0
Negros Oriental,7,0,0
Northern Samar,1,0,0
Nueva Ecija,45,0,0
Nueva Vizcaya,5,0,0
Occidental Mindoro,3,0,0
Oriental Mindoro,6,0,0
Palawan,2,0,0
Pampanga,54,0,0
Pangasinan,33,0,0
Quezon,33,0,0
Rizal,301,0,0
Romblon,1,0,0
Samar (Western Samar),3,0,0
South Cotabato,4,0,0
Sultan Kudarat,3,0,0
Tarlac,25,0,0
Zambales,21,0,0
Zamboanga del Sur,11,0,0
