region,confirmed,deaths,recovered
BARMM,109,0,0
CAR,127,0,0
CARAGA,147,0,0
MIMAROPA,125,0,0
NCR,22314,0,0
Region I: Ilocos Region,183,0,0
Region II: Cagayan Valley,102,0,0
Region III: Central Luzon,1156,0,0
Region IV-A: CALABARZON,3366,0,0
Region IX: Zamboanga Peninsula,334,0,0
Region V: Bicol Region,202,0,0
Region VI: Western Visayas,427,0,0
Region VII: Central Visayas,9663,0,0
Region VIII: Eastern Visayas,493,0,0
Region X: Northern Mindanao,222,0,0
Region XI: Davao Region,655,0,0
Region XII: SOCCSKSARGEN,86,0,0
Repatriate,2125,0,0
