region,confirmed,deaths,recovered
BARMM,1833,53,1311
CAR,3041,32,1889
CARAGA,2638,77,1508
NCR,182425,3258,163243
ROF,12549,37,12133
Region I: Ilocos Region,2903,78,1979
Region II: Cagayan Valley,2826,35,1935
Region III: Central Luzon,21431,310,16680
Region IV-A: CALABARZON,67206,797,55274
Region IV-B: MIMAROPA,1943,28,1529
Region IX: Zamboanga Peninsula,3515,119,2205
Region V: Bicol Region,3069,95,2468
Region VI: Western Visayas,16327,384,12741
Region VII: Central Visayas,23355,1293,20926
Region VIII: Eastern Visayas,6470,53,5320
Region X: Northern Mindanao,5100,93,3276
Region XI: Davao Region,4759,121,3286
Region XII: SOCCSKSARGEN,2731,60,1818
