region,province,confirmed,deaths,recovered
BARMM,LANAO DEL SUR,9,0,0
BARMM,MAGUINDANAO,3,0,0
BARMM,SULU,1,0,0
CAR,ABRA,4,0,0
CAR,APAYAO,1,0,0
CAR,BENGUET,48,0,0
CAR,IFUGAO,2,0,0
CARAGA,AGUSAN DEL NORTE,4,0,0
CARAGA,SURIGAO DEL NORTE,1,0,0
NCR,METRO MANILA,10234,0,0
Region I: Ilocos Region,ILOCOS NORTE,4,0,0
Region I: Ilocos Region,ILOCOS SUR,2,0,0
Region I: Ilocos Region,LA UNION,18,0,0
Region I: Ilocos Region,PANGASINAN,62,0,0
Region II: Cagayan Valley,CAGAYAN,18,0,0
Region II: Cagayan Valley,ISABELA,11,0,0
Region II: Cagayan Valley,NUEVA VIZCAYA,9,0,0
Region III: Central Luzon,BATAAN,137,0,0
Region III: Central Luzon,BULACAN,244,0,0
Region III: Central Luzon,NUEVA ECIJA,67,0,0
Region III: Central Luzon,PAMPANGA,94,0,0
Region III: Central Luzon,TARLAC PROVINCE,37,0,0
Region III: Central Luzon,ZAMBALES,39,0,0
Region IV-A: CALABARZON,BATANGAS,182,0,0
Region IV-A: CALABARZON,CAVITE,396,0,0
Region IV-A: CALABARZON,LAGUNA,476,0,0
Region IV-A: CALABARZON,QUEZON,91,0,0
Region IV-A: CALABARZON,RIZAL,550,0,0
Region IV-B: MIMAROPA,MARINDUQUE,7,0,0
Region IV-B: MIMAROPA,OCCIDENTAL MINDORO,34,0,0
Region IV-B: MIMAROPA,ORIENTAL MINDORO,21,0,0
Region IV-B: MIMAROPA,PALAWAN,3,0,0
Region IV-B: MIMAROPA,ROMBLON,3,0,0
Region IX: Zamboanga Peninsula,ZAMBOANGA DEL NORTE,1,0,0
Region IX: Zamboanga Peninsula,ZAMBOANGA DEL SUR,137,0,0
Region V: Bicol Region,ALBAY,56,0,0
Region V: Bicol Region,CAMARINES NORTE,4,0,0
Region V: Bicol Region,CAMARINES SUR,15,0,0
Region V: Bicol Region,CATANDUANES,1,0,0
Region V: Bicol Region,MASBATE,1,0,0
Region V: Bicol Region,SORSOGON,1,0,0
Region VI: Western Visayas,AKLAN,8,0,0
Region VI: Western Visayas,ANTIQUE,18,0,0
Region VI: Western Visayas,CAPIZ,6,0,0
Region VI: Western Visayas,ILOILO PROVINCE,55,0,0
Region VI: Western Visayas,NEGROS OCCIDENTAL,30,0,0
Region VII: Central Visayas,BOHOL,7,0,0
Region VII: Central Visayas,CEBU PROVINCE,3111,0,0
Region VII: Central Visayas,NEGROS ORIENTAL,18,0,0
Region VIII: Eastern Visayas,LEYTE,13,0,0
Region VIII: Eastern Visayas,NORTHERN SAMAR,1,0,0
Region VIII: Eastern Visayas,SAMAR,25,0,0
Region X: Northern Mindanao,BUKIDNON,4,0,0
Region X: Northern Mindanao,CAMIGUIN,1,0,0
Region X: Northern Mindanao,LANAO DEL NORTE,8,0,0
Region X: Northern Mindanao,MISAMIS OCCIDENTAL,6,0,0
Region X: Northern Mindanao,MISAMIS ORIENTAL,15,0,0
Region XI: Davao Region,COMPOSTELA VALLEY,3,0,0
Region XI: Davao Region,DAVAO DEL NORTE,13,0,0
Region XI: Davao Region,DAVAO DEL SUR,293,0,0
Region XI: Davao Region,DAVAO OCCIDENTAL,2,0,0
Region XI: Davao Region,DAVAO ORIENTAL,4,0,0
Region XII: SOCCSKSARGEN,COTABATO,15,0,0
Region XII: SOCCSKSARGEN,SARANGANI,1,0,0
Region XII: SOCCSKSARGEN,SOUTH COTABATO,8,0,0
Region XII: SOCCSKSARGEN,SULTAN KUDARAT,5,0,0
