region,province,confirmed,deaths,recovered
BARMM,BASILAN,124,1,117
BARMM,LANAO DEL SUR,374,11,227
BARMM,MAGUINDANAO,202,1,183
BARMM,SULU,33,2,30
BARMM,TAWI-TAWI,17,1,10
CAR,ABRA,83,1,71
CAR,APAYAO,38,0,34
CAR,BENGUET,611,10,425
CAR,IFUGAO,25,0,18
CAR,KALINGA,163,0,72
CAR,MOUNTAIN PROVINCE,23,0,14
CARAGA,AGUSAN DEL NORTE,348,9,169
CARAGA,AGUSAN DEL SUR,74,0,53
CARAGA,DINAGAT ISLANDS,12,0,8
CARAGA,SURIGAO DEL NORTE,98,0,88
CARAGA,SURIGAO DEL SUR,83,0,65
NCR,NCR,124101,1852,97274
Region I: Ilocos Region,ILOCOS NORTE,105,1,70
Region I: Ilocos Region,ILOCOS SUR,116,0,94
Region I: Ilocos Region,LA UNION,290,12,229
Region I: Ilocos Region,PANGASINAN,725,20,505
Region II: Cagayan Valley,CAGAYAN,363,2,237
Region II: Cagayan Valley,ISABELA,489,3,363
Region II: Cagayan Valley,NUEVA VIZCAYA,183,3,41
Region II: Cagayan Valley,QUIRINO,7,0,3
Region III: Central Luzon,AURORA,1,0,0
Region III: Central Luzon,BATAAN,1090,11,643
Region III: Central Luzon,BULACAN,4883,70,3594
Region III: Central Luzon,NUEVA ECIJA,623,10,431
Region III: Central Luzon,PAMPANGA,2019,34,1051
Region III: Central Luzon,TARLAC,297,9,199
Region III: Central Luzon,ZAMBALES,561,5,217
Region IV-A: CALABARZON,BATANGAS,4355,56,2818
Region IV-A: CALABARZON,CAVITE,10348,89,7866
Region IV-A: CALABARZON,LAGUNA,12184,66,9037
Region IV-A: CALABARZON,QUEZON,1511,25,902
Region IV-A: CALABARZON,RIZAL,8051,136,6051
Region IV-B: MIMAROPA,MARINDUQUE,45,0,35
Region IV-B: MIMAROPA,OCCIDENTAL MINDORO,99,1,85
Region IV-B: MIMAROPA,ORIENTAL MINDORO,325,6,224
Region IV-B: MIMAROPA,PALAWAN,266,2,225
Region IV-B: MIMAROPA,ROMBLON,44,0,39
Region IX: Zamboanga Peninsula,CITY OF ISABELA (NOT A PROVINCE),124,3,103
Region IX: Zamboanga Peninsula,ZAMBOANGA DEL NORTE,83,0,71
Region IX: Zamboanga Peninsula,ZAMBOANGA DEL SUR,1447,51,1031
Region IX: Zamboanga Peninsula,ZAMBOANGA SIBUGAY,65,0,59
Region V: Bicol Region,ALBAY,660,15,429
Region V: Bicol Region,CAMARINES NORTE,85,3,64
Region V: Bicol Region,CAMARINES SUR,733,10,480
Region V: Bicol Region,CATANDUANES,68,0,44
Region V: Bicol Region,MASBATE,160,0,146
Region V: Bicol Region,SORSOGON,195,4,129
Region VI: Western Visayas,AKLAN,76,1,56
Region VI: Western Visayas,ANTIQUE,107,0,90
Region VI: Western Visayas,CAPIZ,267,5,163
Region VI: Western Visayas,GUIMARAS,107,0,89
Region VI: Western Visayas,ILOILO,2564,40,1761
Region VI: Western Visayas,NEGROS OCCIDENTAL,3780,41,1819
Region VII: Central Visayas,BOHOL,394,7,249
Region VII: Central Visayas,CEBU,19432,1038,17100
Region VII: Central Visayas,NEGROS ORIENTAL,214,5,168
Region VII: Central Visayas,SIQUIJOR,18,0,17
Region VIII: Eastern Visayas,BILIRAN,107,1,70
Region VIII: Eastern Visayas,EASTERN SAMAR,52,1,41
Region VIII: Eastern Visayas,LEYTE,1743,11,1102
Region VIII: Eastern Visayas,NORTHERN SAMAR,141,0,81
Region VIII: Eastern Visayas,SAMAR (WESTERN SAMAR),1220,10,677
Region VIII: Eastern Visayas,SOUTHERN LEYTE,261,1,218
Region X: Northern Mindanao,BUKIDNON,187,0,136
Region X: Northern Mindanao,CAMIGUIN,25,0,17
Region X: Northern Mindanao,LANAO DEL NORTE,770,14,454
Region X: Northern Mindanao,MISAMIS OCCIDENTAL,249,3,166
Region X: Northern Mindanao,MISAMIS ORIENTAL,593,11,426
Region XI: Davao Region,DAVAO DE ORO,179,1,152
Region XI: Davao Region,DAVAO DEL NORTE,264,5,194
Region XI: Davao Region,DAVAO DEL SUR,1663,51,1346
Region XI: Davao Region,DAVAO OCCIDENTAL,45,2,40
Region XI: Davao Region,DAVAO ORIENTAL,191,1,164
Region XII: SOCCSKSARGEN,COTABATO (NORTH COTABATO),142,1,114
Region XII: SOCCSKSARGEN,COTABATO CITY (NOT A PROVINCE),88,0,59
Region XII: SOCCSKSARGEN,SARANGANI,88,1,73
Region XII: SOCCSKSARGEN,SOUTH COTABATO,363,3,226
Region XII: SOCCSKSARGEN,SULTAN KUDARAT,93,3,68
