region,province,confirmed,deaths,recovered
BARMM,BASILAN,166,3,139
BARMM,LANAO DEL SUR,802,28,594
BARMM,MAGUINDANAO,376,4,266
BARMM,SULU,56,6,36
BARMM,TAWI-TAWI,134,4,111
CAR,ABRA,102,1,83
CAR,APAYAO,42,0,35
CAR,BENGUET,1881,23,1090
CAR,IFUGAO,72,0,44
CAR,KALINGA,188,0,171
CAR,MOUNTAIN PROVINCE,29,1,19
CARAGA,AGUSAN DEL NORTE,1271,36,821
CARAGA,AGUSAN DEL SUR,165,1,96
CARAGA,DINAGAT ISLANDS,25,0,20
CARAGA,SURIGAO DEL NORTE,229,7,107
CARAGA,SURIGAO DEL SUR,335,17,195
NCR,NCR,168130,2984,148170
Region I: Ilocos Region,ILOCOS NORTE,191,1,158
Region I: Ilocos Region,ILOCOS SUR,142,0,132
Region I: Ilocos Region,LA UNION,529,15,420
Region I: Ilocos Region,PANGASINAN,1566,50,1044
Region II: Cagayan Valley,BATANES,2,0,0
Region II: Cagayan Valley,CAGAYAN,649,7,469
Region II: Cagayan Valley,ISABELA,1083,8,728
Region II: Cagayan Valley,NUEVA VIZCAYA,592,17,486
Region II: Cagayan Valley,QUIRINO,15,0,12
Region III: Central Luzon,AURORA,6,0,1
Region III: Central Luzon,BATAAN,2647,33,2149
Region III: Central Luzon,BULACAN,9612,117,7720
Region III: Central Luzon,NUEVA ECIJA,1241,15,829
Region III: Central Luzon,PAMPANGA,3748,55,2778
Region III: Central Luzon,TARLAC,606,12,467
Region III: Central Luzon,ZAMBALES,1362,8,962
Region IV-A: CALABARZON,BATANGAS,9030,123,6795
Region IV-A: CALABARZON,CAVITE,18209,165,14958
Region IV-A: CALABARZON,LAGUNA,17854,128,15459
Region IV-A: CALABARZON,QUEZON,3148,52,1941
Region IV-A: CALABARZON,RIZAL,13418,250,10894
Region IV-B: MIMAROPA,MARINDUQUE,104,1,52
Region IV-B: MIMAROPA,OCCIDENTAL MINDORO,219,4,151
Region IV-B: MIMAROPA,ORIENTAL MINDORO,893,16,621
Region IV-B: MIMAROPA,PALAWAN,479,4,371
Region IV-B: MIMAROPA,ROMBLON,62,0,58
Region IX: Zamboanga Peninsula,CITY OF ISABELA (NOT A PROVINCE),154,4,126
Region IX: Zamboanga Peninsula,ZAMBOANGA DEL NORTE,161,2,102
Region IX: Zamboanga Peninsula,ZAMBOANGA DEL SUR,2451,95,1733
Region IX: Zamboanga Peninsula,ZAMBOANGA SIBUGAY,77,0,64
Region V: Bicol Region,ALBAY,866,34,754
Region V: Bicol Region,CAMARINES NORTE,142,3,105
Region V: Bicol Region,CAMARINES SUR,1156,31,946
Region V: Bicol Region,CATANDUANES,112,2,95
Region V: Bicol Region,MASBATE,202,1,185
Region V: Bicol Region,SORSOGON,283,10,228
Region VI: Western Visayas,AKLAN,192,7,150
Region VI: Western Visayas,ANTIQUE,152,1,128
Region VI: Western Visayas,CAPIZ,712,25,506
Region VI: Western Visayas,GUIMARAS,172,1,144
Region VI: Western Visayas,ILOILO,5049,111,3577
Region VI: Western Visayas,NEGROS OCCIDENTAL,8217,184,6446
Region VII: Central Visayas,BOHOL,587,9,471
Region VII: Central Visayas,CEBU,21738,1258,19471
Region VII: Central Visayas,NEGROS ORIENTAL,299,5,259
Region VII: Central Visayas,SIQUIJOR,19,0,16
Region VIII: Eastern Visayas,BILIRAN,128,2,123
Region VIII: Eastern Visayas,EASTERN SAMAR,71,1,63
Region VIII: Eastern Visayas,LEYTE,2826,29,2445
Region VIII: Eastern Visayas,NORTHERN SAMAR,216,0,179
Region VIII: Eastern Visayas,SAMAR (WESTERN SAMAR),1909,15,1567
Region VIII: Eastern Visayas,SOUTHERN LEYTE,377,1,317
Region X: Northern Mindanao,BUKIDNON,533,6,291
Region X: Northern Mindanao,CAMIGUIN,35,0,27
Region X: Northern Mindanao,LANAO DEL NORTE,1419,40,1142
Region X: Northern Mindanao,MISAMIS OCCIDENTAL,367,2,297
Region X: Northern Mindanao,MISAMIS ORIENTAL,1781,33,995
Region XI: Davao Region,DAVAO DE ORO,246,1,214
Region XI: Davao Region,DAVAO DEL NORTE,401,5,326
Region XI: Davao Region,DAVAO DEL SUR,2818,91,2013
Region XI: Davao Region,DAVAO OCCIDENTAL,89,2,61
Region XI: Davao Region,DAVAO ORIENTAL,277,1,242
Region XII: SOCCSKSARGEN,COTABATO (NORTH COTABATO),261,2,203
Region XII: SOCCSKSARGEN,COTABATO CITY (NOT A PROVINCE),435,6,274
Region XII: SOCCSKSARGEN,SARANGANI,149,6,125
Region XII: SOCCSKSARGEN,SOUTH COTABATO,1140,26,784
Region XII: SOCCSKSARGEN,SULTAN KUDARAT,158,5,113
