region,province,confirmed,deaths,recovered
BARMM,BASILAN,209,3,170
BARMM,LANAO DEL SUR,980,33,828
BARMM,MAGUINDANAO,508,6,413
BARMM,SULU,186,8,114
BARMM,TAWI-TAWI,148,4,131
CAR,ABRA,106,2,97
CAR,APAYAO,46,0,43
CAR,BENGUET,3368,39,2167
CAR,IFUGAO,88,0,77
CAR,KALINGA,202,0,184
CAR,MOUNTAIN PROVINCE,31,0,27
CARAGA,AGUSAN DEL NORTE,1698,43,1332
CARAGA,AGUSAN DEL SUR,293,6,202
CARAGA,DINAGAT ISLANDS,32,0,26
CARAGA,SURIGAO DEL NORTE,455,11,291
CARAGA,SURIGAO DEL SUR,441,23,347
NCR,NCR,179221,3277,167974
Region I: Ilocos Region,ILOCOS NORTE,202,1,191
Region I: Ilocos Region,ILOCOS SUR,159,0,144
Region I: Ilocos Region,LA UNION,587,16,523
Region I: Ilocos Region,PANGASINAN,2185,71,1797
Region II: Cagayan Valley,BATANES,3,0,3
Region II: Cagayan Valley,CAGAYAN,836,7,684
Region II: Cagayan Valley,ISABELA,1575,11,1289
Region II: Cagayan Valley,NUEVA VIZCAYA,636,19,586
Region II: Cagayan Valley,QUIRINO,20,0,18
Region III: Central Luzon,AURORA,75,0,20
Region III: Central Luzon,BATAAN,2950,40,2668
Region III: Central Luzon,BULACAN,10736,164,9852
Region III: Central Luzon,NUEVA ECIJA,1586,23,1327
Region III: Central Luzon,PAMPANGA,4744,69,3962
Region III: Central Luzon,TARLAC,796,15,665
Region III: Central Luzon,ZAMBALES,1629,16,1426
Region IV-A: CALABARZON,BATANGAS,10326,152,9250
Region IV-A: CALABARZON,CAVITE,20357,185,19001
Region IV-A: CALABARZON,LAGUNA,19317,148,18130
Region IV-A: CALABARZON,QUEZON,4305,62,3429
Region IV-A: CALABARZON,RIZAL,15187,285,13727
Region IV-B: MIMAROPA,MARINDUQUE,126,1,114
Region IV-B: MIMAROPA,OCCIDENTAL MINDORO,252,6,229
Region IV-B: MIMAROPA,ORIENTAL MINDORO,1001,17,889
Region IV-B: MIMAROPA,PALAWAN,523,4,507
Region IV-B: MIMAROPA,ROMBLON,68,0,68
Region IX: Zamboanga Peninsula,CITY OF ISABELA (NOT A PROVINCE),177,4,160
Region IX: Zamboanga Peninsula,ZAMBOANGA DEL NORTE,300,9,220
Region IX: Zamboanga Peninsula,ZAMBOANGA DEL SUR,3420,113,2620
Region IX: Zamboanga Peninsula,ZAMBOANGA SIBUGAY,123,0,99
Region V: Bicol Region,ALBAY,946,42,852
Region V: Bicol Region,CAMARINES NORTE,193,4,154
Region V: Bicol Region,CAMARINES SUR,1399,35,1179
Region V: Bicol Region,CATANDUANES,130,2,118
Region V: Bicol Region,MASBATE,286,1,211
Region V: Bicol Region,SORSOGON,384,15,301
Region VI: Western Visayas,AKLAN,226,7,199
Region VI: Western Visayas,ANTIQUE,169,1,159
Region VI: Western Visayas,CAPIZ,969,33,790
Region VI: Western Visayas,GUIMARAS,190,1,175
Region VI: Western Visayas,ILOILO,6418,148,5294
Region VI: Western Visayas,NEGROS OCCIDENTAL,9711,225,8459
Region VII: Central Visayas,BOHOL,738,11,617
Region VII: Central Visayas,CEBU,22459,1299,20583
Region VII: Central Visayas,NEGROS ORIENTAL,458,6,319
Region VII: Central Visayas,SIQUIJOR,24,0,23
Region VIII: Eastern Visayas,BILIRAN,127,2,125
Region VIII: Eastern Visayas,EASTERN SAMAR,116,1,80
Region VIII: Eastern Visayas,LEYTE,3225,32,2913
Region VIII: Eastern Visayas,NORTHERN SAMAR,710,5,397
Region VIII: Eastern Visayas,SAMAR (WESTERN SAMAR),2279,15,2015
Region VIII: Eastern Visayas,SOUTHERN LEYTE,527,2,463
Region X: Northern Mindanao,BUKIDNON,748,9,598
Region X: Northern Mindanao,CAMIGUIN,43,0,38
Region X: Northern Mindanao,LANAO DEL NORTE,1633,46,1465
Region X: Northern Mindanao,MISAMIS OCCIDENTAL,562,8,421
Region X: Northern Mindanao,MISAMIS ORIENTAL,2620,50,1916
Region XI: Davao Region,DAVAO DE ORO,300,2,259
Region XI: Davao Region,DAVAO DEL NORTE,595,5,442
Region XI: Davao Region,DAVAO DEL SUR,4224,134,3002
Region XI: Davao Region,DAVAO OCCIDENTAL,107,2,100
Region XI: Davao Region,DAVAO ORIENTAL,332,4,289
Region XII: SOCCSKSARGEN,COTABATO (NORTH COTABATO),346,8,285
Region XII: SOCCSKSARGEN,COTABATO CITY (NOT A PROVINCE),678,16,468
Region XII: SOCCSKSARGEN,SARANGANI,262,8,155
Region XII: SOCCSKSARGEN,SOUTH COTABATO,1668,39,1246
Region XII: SOCCSKSARGEN,SULTAN KUDARAT,199,8,166
