region,province,confirmed,deaths,recovered
BARMM,BASILAN,125,1,117
BARMM,LANAO DEL SUR,339,9,202
BARMM,MAGUINDANAO,199,1,152
BARMM,SULU,33,2,24
BARMM,TAWI-TAWI,15,0,8
CAR,ABRA,75,1,67
CAR,APAYAO,38,0,29
CAR,BENGUET,565,8,325
CAR,IFUGAO,25,0,18
CAR,KALINGA,154,0,49
CAR,MOUNTAIN PROVINCE,21,0,12
CARAGA,AGUSAN DEL NORTE,270,5,138
CARAGA,AGUSAN DEL SUR,76,0,53
CARAGA,DINAGAT ISLANDS,12,0,2
CARAGA,SURIGAO DEL NORTE,98,0,86
CARAGA,SURIGAO DEL SUR,83,0,55
NCR,NCR,119050,1715,82208
Region I: Ilocos Region,ILOCOS NORTE,102,1,62
Region I: Ilocos Region,ILOCOS SUR,118,0,89
Region I: Ilocos Region,LA UNION,277,11,199
Region I: Ilocos Region,PANGASINAN,712,17,432
Region II: Cagayan Valley,CAGAYAN,353,2,211
Region II: Cagayan Valley,ISABELA,446,2,316
Region II: Cagayan Valley,NUEVA VIZCAYA,112,2,37
Region II: Cagayan Valley,QUIRINO,6,0,2
Region III: Central Luzon,AURORA,1,0,0
Region III: Central Luzon,BATAAN,995,10,532
Region III: Central Luzon,BULACAN,4597,60,2853
Region III: Central Luzon,NUEVA ECIJA,584,9,341
Region III: Central Luzon,PAMPANGA,1877,33,788
Region III: Central Luzon,TARLAC,271,9,169
Region III: Central Luzon,ZAMBALES,516,5,176
Region IV-A: CALABARZON,BATANGAS,3862,52,2145
Region IV-A: CALABARZON,CAVITE,9741,84,6518
Region IV-A: CALABARZON,LAGUNA,11483,65,7500
Region IV-A: CALABARZON,QUEZON,1338,23,704
Region IV-A: CALABARZON,RIZAL,7571,122,4995
Region IV-B: MIMAROPA,MARINDUQUE,41,0,31
Region IV-B: MIMAROPA,OCCIDENTAL MINDORO,95,1,74
Region IV-B: MIMAROPA,ORIENTAL MINDORO,267,4,178
Region IV-B: MIMAROPA,PALAWAN,243,2,192
Region IV-B: MIMAROPA,ROMBLON,42,0,36
Region IX: Zamboanga Peninsula,CITY OF ISABELA (NOT A PROVINCE),123,2,81
Region IX: Zamboanga Peninsula,ZAMBOANGA DEL NORTE,81,0,62
Region IX: Zamboanga Peninsula,ZAMBOANGA DEL SUR,1358,48,870
Region IX: Zamboanga Peninsula,ZAMBOANGA SIBUGAY,63,0,50
Region V: Bicol Region,ALBAY,604,15,326
Region V: Bicol Region,CAMARINES NORTE,80,3,54
Region V: Bicol Region,CAMARINES SUR,650,8,372
Region V: Bicol Region,CATANDUANES,57,0,34
Region V: Bicol Region,MASBATE,156,0,137
Region V: Bicol Region,SORSOGON,185,4,98
Region VI: Western Visayas,AKLAN,71,1,51
Region VI: Western Visayas,ANTIQUE,104,0,67
Region VI: Western Visayas,CAPIZ,239,5,123
Region VI: Western Visayas,GUIMARAS,104,0,58
Region VI: Western Visayas,ILOILO,2350,35,1332
Region VI: Western Visayas,NEGROS OCCIDENTAL,2862,39,1126
Region VII: Central Visayas,BOHOL,386,6,212
Region VII: Central Visayas,CEBU,19228,1018,16583
Region VII: Central Visayas,NEGROS ORIENTAL,212,5,145
Region VII: Central Visayas,SIQUIJOR,18,0,14
Region VIII: Eastern Visayas,BILIRAN,95,1,65
Region VIII: Eastern Visayas,EASTERN SAMAR,49,1,21
Region VIII: Eastern Visayas,LEYTE,1542,5,894
Region VIII: Eastern Visayas,NORTHERN SAMAR,112,0,65
Region VIII: Eastern Visayas,SAMAR (WESTERN SAMAR),1110,6,420
Region VIII: Eastern Visayas,SOUTHERN LEYTE,247,1,187
Region X: Northern Mindanao,BUKIDNON,175,0,118
Region X: Northern Mindanao,CAMIGUIN,22,0,10
Region X: Northern Mindanao,LANAO DEL NORTE,655,8,325
Region X: Northern Mindanao,MISAMIS OCCIDENTAL,232,2,139
Region X: Northern Mindanao,MISAMIS ORIENTAL,542,10,360
Region XI: Davao Region,DAVAO DE ORO,171,1,134
Region XI: Davao Region,DAVAO DEL NORTE,243,5,177
Region XI: Davao Region,DAVAO DEL SUR,1606,50,1163
Region XI: Davao Region,DAVAO OCCIDENTAL,43,2,34
Region XI: Davao Region,DAVAO ORIENTAL,181,1,150
Region XII: SOCCSKSARGEN,COTABATO (NORTH COTABATO),133,1,95
Region XII: SOCCSKSARGEN,COTABATO CITY (NOT A PROVINCE),67,0,49
Region XII: SOCCSKSARGEN,SARANGANI,78,0,69
Region XII: SOCCSKSARGEN,SOUTH COTABATO,292,0,191
Region XII: SOCCSKSARGEN,SULTAN KUDARAT,82,3,64
