region,province,confirmed,deaths,recovered
BARMM,BASILAN,120,1,103
BARMM,LANAO DEL SUR,224,3,166
BARMM,MAGUINDANAO,153,0,132
BARMM,SULU,25,2,17
BARMM,TAWI-TAWI,11,0,6
CAR,ABRA,76,1,30
CAR,APAYAO,34,0,21
CAR,BENGUET,386,6,200
CAR,IFUGAO,23,0,20
CAR,KALINGA,70,0,28
CAR,MOUNTAIN PROVINCE,17,0,9
CARAGA,AGUSAN DEL NORTE,134,1,103
CARAGA,AGUSAN DEL SUR,48,0,31
CARAGA,DINAGAT ISLANDS,3,0,1
CARAGA,SURIGAO DEL NORTE,79,0,66
CARAGA,SURIGAO DEL SUR,50,0,34
NCR,NCR,80251,1207,53748
Region I: Ilocos Region,ILOCOS NORTE,65,0,32
Region I: Ilocos Region,ILOCOS SUR,98,0,57
Region I: Ilocos Region,LA UNION,229,9,94
Region I: Ilocos Region,PANGASINAN,445,14,297
Region II: Cagayan Valley,CAGAYAN,225,1,162
Region II: Cagayan Valley,ISABELA,334,1,156
Region II: Cagayan Valley,NUEVA VIZCAYA,52,1,33
Region II: Cagayan Valley,QUIRINO,3,0,0
Region III: Central Luzon,AURORA,6,0,1
Region III: Central Luzon,BATAAN,587,7,348
Region III: Central Luzon,BULACAN,2749,32,1654
Region III: Central Luzon,NUEVA ECIJA,359,4,214
Region III: Central Luzon,PAMPANGA,841,14,412
Region III: Central Luzon,TARLAC,170,5,95
Region III: Central Luzon,ZAMBALES,185,4,100
Region IV-A: CALABARZON,BATANGAS,2027,38,1079
Region IV-A: CALABARZON,CAVITE,5709,52,3798
Region IV-A: CALABARZON,LAGUNA,7328,40,4590
Region IV-A: CALABARZON,QUEZON,779,12,388
Region IV-A: CALABARZON,RIZAL,5014,71,2992
Region IV-B: MIMAROPA,MARINDUQUE,30,0,19
Region IV-B: MIMAROPA,OCCIDENTAL MINDORO,87,1,67
Region IV-B: MIMAROPA,ORIENTAL MINDORO,179,4,71
Region IV-B: MIMAROPA,PALAWAN,193,1,113
Region IV-B: MIMAROPA,ROMBLON,37,0,24
Region IX: Zamboanga Peninsula,CITY OF ISABELA (NOT A PROVINCE),77,0,43
Region IX: Zamboanga Peninsula,ZAMBOANGA DEL NORTE,63,0,47
Region IX: Zamboanga Peninsula,ZAMBOANGA DEL SUR,929,31,637
Region IX: Zamboanga Peninsula,ZAMBOANGA SIBUGAY,44,0,25
Region V: Bicol Region,ALBAY,354,9,188
Region V: Bicol Region,CAMARINES NORTE,59,1,28
Region V: Bicol Region,CAMARINES SUR,377,4,221
Region V: Bicol Region,CATANDUANES,35,0,17
Region V: Bicol Region,MASBATE,144,0,85
Region V: Bicol Region,SORSOGON,97,1,44
Region VI: Western Visayas,AKLAN,53,1,29
Region VI: Western Visayas,ANTIQUE,77,0,46
Region VI: Western Visayas,CAPIZ,128,2,80
Region VI: Western Visayas,GUIMARAS,54,0,33
Region VI: Western Visayas,ILOILO,1373,18,580
Region VI: Western Visayas,NEGROS OCCIDENTAL,1187,9,628
Region VII: Central Visayas,BOHOL,255,6,158
Region VII: Central Visayas,CEBU,17882,912,15141
Region VII: Central Visayas,NEGROS ORIENTAL,166,3,133
Region VII: Central Visayas,SIQUIJOR,16,0,10
Region VIII: Eastern Visayas,BILIRAN,66,1,35
Region VIII: Eastern Visayas,EASTERN SAMAR,26,0,8
Region VIII: Eastern Visayas,LEYTE,867,0,540
Region VIII: Eastern Visayas,NORTHERN SAMAR,57,0,37
Region VIII: Eastern Visayas,SAMAR (WESTERN SAMAR),389,2,230
Region VIII: Eastern Visayas,SOUTHERN LEYTE,196,0,128
Region X: Northern Mindanao,BUKIDNON,123,0,88
Region X: Northern Mindanao,CAMIGUIN,10,0,4
Region X: Northern Mindanao,LANAO DEL NORTE,351,3,193
Region X: Northern Mindanao,MISAMIS OCCIDENTAL,152,1,87
Region X: Northern Mindanao,MISAMIS ORIENTAL,386,9,249
Region XI: Davao Region,DAVAO DE ORO,138,1,102
Region XI: Davao Region,DAVAO DEL NORTE,178,4,125
Region XI: Davao Region,DAVAO DEL SUR,1230,46,902
Region XI: Davao Region,DAVAO OCCIDENTAL,35,2,30
Region XI: Davao Region,DAVAO ORIENTAL,143,1,87
Region XII: SOCCSKSARGEN,COTABATO (NORTH COTABATO),99,1,64
Region XII: SOCCSKSARGEN,COTABATO CITY (NOT A PROVINCE),51,0,43
Region XII: SOCCSKSARGEN,SARANGANI,76,0,69
Region XII: SOCCSKSARGEN,SOUTH COTABATO,201,0,134
Region XII: SOCCSKSARGEN,SULTAN KUDARAT,65,3,46
