region,province,confirmed,deaths,recovered
BARMM,BASILAN,102,0,80
BARMM,LANAO DEL SUR,137,3,111
BARMM,MAGUINDANAO,109,0,93
BARMM,SULU,13,2,7
BARMM,TAWI-TAWI,10,0,2
CAR,ABRA,18,0,11
CAR,APAYAO,18,0,15
CAR,BENGUET,141,2,100
CAR,IFUGAO,13,0,7
CAR,KALINGA,15,0,6
CAR,MOUNTAIN PROVINCE,5,0,3
CARAGA,AGUSAN DEL NORTE,57,2,34
CARAGA,AGUSAN DEL SUR,20,0,15
CARAGA,SURIGAO DEL NORTE,41,0,26
CARAGA,SURIGAO DEL SUR,14,0,11
NCR,MASBATE,1,0,1
NCR,NCR,38621,979,27027
Region I: Ilocos Region,ILOCOS NORTE,21,0,13
Region I: Ilocos Region,ILOCOS SUR,23,0,17
Region I: Ilocos Region,LA UNION,75,6,36
Region I: Ilocos Region,PANGASINAN,206,9,138
Region II: Cagayan Valley,CAGAYAN,116,0,84
Region II: Cagayan Valley,ISABELA,113,0,80
Region II: Cagayan Valley,NUEVA VIZCAYA,25,1,14
Region III: Central Luzon,AURORA,2,0,0
Region III: Central Luzon,BATAAN,287,6,250
Region III: Central Luzon,BULACAN,1050,27,748
Region III: Central Luzon,NUEVA ECIJA,172,3,126
Region III: Central Luzon,PAMPANGA,322,10,210
Region III: Central Luzon,TARLAC,80,5,60
Region III: Central Luzon,ZAMBALES,92,4,60
Region IV-A: CALABARZON,BATANGAS,718,25,496
Region IV-A: CALABARZON,CAVITE,1765,41,1111
Region IV-A: CALABARZON,LAGUNA,2689,32,1546
Region IV-A: CALABARZON,QUEZON,285,8,179
Region IV-A: CALABARZON,RIZAL,1893,55,1250
Region IV-B: MIMAROPA,MARINDUQUE,19,0,15
Region IV-B: MIMAROPA,OCCIDENTAL MINDORO,60,1,54
Region IV-B: MIMAROPA,ORIENTAL MINDORO,67,3,33
Region IV-B: MIMAROPA,PALAWAN,80,1,63
Region IV-B: MIMAROPA,ROMBLON,12,0,9
Region IX: Zamboanga Peninsula,CITY OF ISABELA (NOT A PROVINCE),39,0,36
Region IX: Zamboanga Peninsula,ZAMBOANGA DEL NORTE,39,0,33
Region IX: Zamboanga Peninsula,ZAMBOANGA DEL SUR,602,15,437
Region IX: Zamboanga Peninsula,ZAMBOANGA SIBUGAY,26,0,24
Region V: Bicol Region,ALBAY,133,4,105
Region V: Bicol Region,CAMARINES NORTE,25,1,18
Region V: Bicol Region,CAMARINES SUR,162,1,110
Region V: Bicol Region,CATANDUANES,15,0,8
Region V: Bicol Region,MASBATE,52,0,22
Region V: Bicol Region,SORSOGON,28,1,14
Region VI: Western Visayas,AKLAN,21,0,14
Region VI: Western Visayas,ANTIQUE,38,0,31
Region VI: Western Visayas,CAPIZ,59,2,34
Region VI: Western Visayas,GUIMARAS,31,0,23
Region VI: Western Visayas,ILOILO,493,9,353
Region VI: Western Visayas,NEGROS OCCIDENTAL,554,4,311
Region VII: Central Visayas,BOHOL,147,4,102
Region VII: Central Visayas,CEBU,14237,588,11110
Region VII: Central Visayas,NEGROS ORIENTAL,120,3,78
Region VII: Central Visayas,SIQUIJOR,8,0,3
Region VIII: Eastern Visayas,BILIRAN,27,1,23
Region VIII: Eastern Visayas,EASTERN SAMAR,4,0,3
Region VIII: Eastern Visayas,LEYTE,442,0,375
Region VIII: Eastern Visayas,NORTHERN SAMAR,27,0,18
Region VIII: Eastern Visayas,SAMAR (WESTERN SAMAR),152,1,118
Region VIII: Eastern Visayas,SOUTHERN LEYTE,112,0,89
Region X: Northern Mindanao,BUKIDNON,63,0,44
Region X: Northern Mindanao,CAMIGUIN,4,0,4
Region X: Northern Mindanao,LANAO DEL NORTE,140,3,86
Region X: Northern Mindanao,MISAMIS OCCIDENTAL,82,1,61
Region X: Northern Mindanao,MISAMIS ORIENTAL,190,7,126
Region XI: Davao Region,DAVAO DE ORO,76,1,53
Region XI: Davao Region,DAVAO DEL NORTE,102,4,70
Region XI: Davao Region,DAVAO DEL SUR,830,37,611
Region XI: Davao Region,DAVAO OCCIDENTAL,31,2,4
Region XI: Davao Region,DAVAO ORIENTAL,73,1,38
Region XII: SOCCSKSARGEN,COTABATO (NORTH COTABATO),49,1,35
Region XII: SOCCSKSARGEN,COTABATO CITY (NOT A PROVINCE),54,0,37
Region XII: SOCCSKSARGEN,SARANGANI,61,0,23
Region XII: SOCCSKSARGEN,SOUTH COTABATO,86,0,51
Region XII: SOCCSKSARGEN,SULTAN KUDARAT,34,2,22
