region,province,confirmed,deaths,recovered
BARMM,BASILAN,143,1,124
BARMM,LANAO DEL SUR,561,24,341
BARMM,MAGUINDANAO,259,2,196
BARMM,SULU,39,3,28
BARMM,TAWI-TAWI,100,3,15
CAR,ABRA,85,1,73
CAR,APAYAO,34,0,33
CAR,BENGUET,891,14,582
CAR,IFUGAO,46,0,27
CAR,KALINGA,168,0,155
CAR,MOUNTAIN PROVINCE,20,1,15
CARAGA,AGUSAN DEL NORTE,738,13,312
CARAGA,AGUSAN DEL SUR,88,0,76
CARAGA,DINAGAT ISLANDS,16,0,12
CARAGA,SURIGAO DEL NORTE,108,0,98
CARAGA,SURIGAO DEL SUR,138,1,81
NCR,NCR,136991,2392,109192
Region I: Ilocos Region,ILOCOS NORTE,160,1,99
Region I: Ilocos Region,ILOCOS SUR,140,1,111
Region I: Ilocos Region,LA UNION,427,13,269
Region I: Ilocos Region,PANGASINAN,1088,27,688
Region II: Cagayan Valley,CAGAYAN,463,3,352
Region II: Cagayan Valley,ISABELA,737,5,484
Region II: Cagayan Valley,NUEVA VIZCAYA,512,10,161
Region II: Cagayan Valley,QUIRINO,12,0,8
Region III: Central Luzon,AURORA,2,0,0
Region III: Central Luzon,BATAAN,2181,19,1048
Region III: Central Luzon,BULACAN,7764,92,4776
Region III: Central Luzon,NUEVA ECIJA,822,13,599
Region III: Central Luzon,PAMPANGA,2828,40,1875
Region III: Central Luzon,TARLAC,484,10,269
Region III: Central Luzon,ZAMBALES,957,6,548
Region IV-A: CALABARZON,BATANGAS,6757,88,4220
Region IV-A: CALABARZON,CAVITE,14285,126,10467
Region IV-A: CALABARZON,LAGUNA,15195,97,11850
Region IV-A: CALABARZON,QUEZON,2030,31,1378
Region IV-A: CALABARZON,RIZAL,11001,195,8028
Region IV-B: MIMAROPA,MARINDUQUE,54,1,39
Region IV-B: MIMAROPA,OCCIDENTAL MINDORO,148,2,105
Region IV-B: MIMAROPA,ORIENTAL MINDORO,570,12,348
Region IV-B: MIMAROPA,PALAWAN,362,4,260
Region IV-B: MIMAROPA,ROMBLON,59,0,45
Region IX: Zamboanga Peninsula,CITY OF ISABELA (NOT A PROVINCE),133,3,118
Region IX: Zamboanga Peninsula,ZAMBOANGA DEL NORTE,108,0,75
Region IX: Zamboanga Peninsula,ZAMBOANGA DEL SUR,1832,77,1344
Region IX: Zamboanga Peninsula,ZAMBOANGA SIBUGAY,68,0,58
Region V: Bicol Region,ALBAY,789,27,609
Region V: Bicol Region,CAMARINES NORTE,105,2,80
Region V: Bicol Region,CAMARINES SUR,964,18,711
Region V: Bicol Region,CATANDUANES,94,1,60
Region V: Bicol Region,MASBATE,184,1,161
Region V: Bicol Region,SORSOGON,235,7,184
Region VI: Western Visayas,AKLAN,145,2,75
Region VI: Western Visayas,ANTIQUE,131,0,106
Region VI: Western Visayas,CAPIZ,458,14,267
Region VI: Western Visayas,GUIMARAS,132,0,117
Region VI: Western Visayas,ILOILO,3539,56,2656
Region VI: Western Visayas,NEGROS OCCIDENTAL,6222,103,4010
Region VII: Central Visayas,BOHOL,478,8,381
Region VII: Central Visayas,CEBU,20744,1187,18157
Region VII: Central Visayas,NEGROS ORIENTAL,261,4,202
Region VII: Central Visayas,SIQUIJOR,19,0,18
Region VIII: Eastern Visayas,BILIRAN,122,2,109
Region VIII: Eastern Visayas,EASTERN SAMAR,65,1,50
Region VIII: Eastern Visayas,LEYTE,2295,24,1883
Region VIII: Eastern Visayas,NORTHERN SAMAR,178,0,151
Region VIII: Eastern Visayas,SAMAR (WESTERN SAMAR),1467,12,1297
Region VIII: Eastern Visayas,SOUTHERN LEYTE,320,1,267
Region X: Northern Mindanao,BUKIDNON,271,3,187
Region X: Northern Mindanao,CAMIGUIN,29,0,24
Region X: Northern Mindanao,LANAO DEL NORTE,1112,27,767
Region X: Northern Mindanao,MISAMIS OCCIDENTAL,295,3,253
Region X: Northern Mindanao,MISAMIS ORIENTAL,1005,16,583
Region XI: Davao Region,DAVAO DE ORO,208,1,178
Region XI: Davao Region,DAVAO DEL NORTE,337,5,262
Region XI: Davao Region,DAVAO DEL SUR,2040,59,1628
Region XI: Davao Region,DAVAO OCCIDENTAL,46,2,43
Region XI: Davao Region,DAVAO ORIENTAL,237,1,195
Region XII: SOCCSKSARGEN,COTABATO (NORTH COTABATO),203,1,140
Region XII: SOCCSKSARGEN,COTABATO CITY (NOT A PROVINCE),236,1,112
Region XII: SOCCSKSARGEN,SARANGANI,130,2,103
Region XII: SOCCSKSARGEN,SOUTH COTABATO,725,10,348
Region XII: SOCCSKSARGEN,SULTAN KUDARAT,109,3,77
