region,province,confirmed,deaths,recovered
BARMM,BASILAN,167,3,139
BARMM,LANAO DEL SUR,808,28,594
BARMM,MAGUINDANAO,383,4,266
BARMM,SULU,65,8,36
BARMM,TAWI-TAWI,135,4,111
CAR,ABRA,102,1,83
CAR,APAYAO,42,0,35
CAR,BENGUET,1938,23,1153
CAR,IFUGAO,73,0,43
CAR,KALINGA,189,0,174
CAR,MOUNTAIN PROVINCE,29,1,19
CARAGA,AGUSAN DEL NORTE,1289,36,821
CARAGA,AGUSAN DEL SUR,179,1,96
CARAGA,DINAGAT ISLANDS,25,0,20
CARAGA,SURIGAO DEL NORTE,260,7,107
CARAGA,SURIGAO DEL SUR,355,17,195
NCR,NCR,168799,3021,148416
Region I: Ilocos Region,ILOCOS NORTE,191,1,158
Region I: Ilocos Region,ILOCOS SUR,142,0,131
Region I: Ilocos Region,LA UNION,530,17,420
Region I: Ilocos Region,PANGASINAN,1607,51,1044
Region II: Cagayan Valley,BATANES,2,0,0
Region II: Cagayan Valley,CAGAYAN,649,7,468
Region II: Cagayan Valley,ISABELA,1092,8,727
Region II: Cagayan Valley,NUEVA VIZCAYA,592,17,486
Region II: Cagayan Valley,QUIRINO,16,0,12
Region III: Central Luzon,AURORA,6,0,1
Region III: Central Luzon,BATAAN,2655,33,2151
Region III: Central Luzon,BULACAN,9655,121,7708
Region III: Central Luzon,NUEVA ECIJA,1258,16,827
Region III: Central Luzon,PAMPANGA,3760,57,2782
Region III: Central Luzon,TARLAC,612,12,472
Region III: Central Luzon,ZAMBALES,1365,8,961
Region IV-A: CALABARZON,BATANGAS,9126,126,6806
Region IV-A: CALABARZON,CAVITE,18429,167,14961
Region IV-A: CALABARZON,LAGUNA,17907,130,15526
Region IV-A: CALABARZON,QUEZON,3206,53,1938
Region IV-A: CALABARZON,RIZAL,13486,254,10902
Region IV-B: MIMAROPA,MARINDUQUE,104,1,51
Region IV-B: MIMAROPA,OCCIDENTAL MINDORO,219,4,152
Region IV-B: MIMAROPA,ORIENTAL MINDORO,895,16,621
Region IV-B: MIMAROPA,PALAWAN,486,4,372
Region IV-B: MIMAROPA,ROMBLON,65,0,58
Region IX: Zamboanga Peninsula,CITY OF ISABELA (NOT A PROVINCE),156,4,126
Region IX: Zamboanga Peninsula,ZAMBOANGA DEL NORTE,174,2,102
Region IX: Zamboanga Peninsula,ZAMBOANGA DEL SUR,2504,96,1733
Region IX: Zamboanga Peninsula,ZAMBOANGA SIBUGAY,79,0,64
Region V: Bicol Region,ALBAY,867,35,752
Region V: Bicol Region,CAMARINES NORTE,142,3,105
Region V: Bicol Region,CAMARINES SUR,1161,31,945
Region V: Bicol Region,CATANDUANES,113,2,95
Region V: Bicol Region,MASBATE,201,1,184
Region V: Bicol Region,SORSOGON,291,10,228
Region VI: Western Visayas,AKLAN,197,7,156
Region VI: Western Visayas,ANTIQUE,152,1,129
Region VI: Western Visayas,CAPIZ,717,25,521
Region VI: Western Visayas,GUIMARAS,173,1,144
Region VI: Western Visayas,ILOILO,5107,113,3624
Region VI: Western Visayas,NEGROS OCCIDENTAL,8277,187,6482
Region VII: Central Visayas,BOHOL,590,9,470
Region VII: Central Visayas,CEBU,21755,1258,19469
Region VII: Central Visayas,NEGROS ORIENTAL,298,5,259
Region VII: Central Visayas,SIQUIJOR,19,0,16
Region VIII: Eastern Visayas,BILIRAN,128,2,123
Region VIII: Eastern Visayas,EASTERN SAMAR,72,1,63
Region VIII: Eastern Visayas,LEYTE,2837,30,2460
Region VIII: Eastern Visayas,NORTHERN SAMAR,216,0,179
Region VIII: Eastern Visayas,SAMAR (WESTERN SAMAR),1943,15,1595
Region VIII: Eastern Visayas,SOUTHERN LEYTE,377,1,319
Region X: Northern Mindanao,BUKIDNON,534,7,291
Region X: Northern Mindanao,CAMIGUIN,35,0,27
Region X: Northern Mindanao,LANAO DEL NORTE,1423,41,1142
Region X: Northern Mindanao,MISAMIS OCCIDENTAL,366,4,296
Region X: Northern Mindanao,MISAMIS ORIENTAL,1796,35,994
Region XI: Davao Region,DAVAO DE ORO,247,2,214
Region XI: Davao Region,DAVAO DEL NORTE,402,5,326
Region XI: Davao Region,DAVAO DEL SUR,2842,93,2013
Region XI: Davao Region,DAVAO OCCIDENTAL,89,2,61
Region XI: Davao Region,DAVAO ORIENTAL,277,1,242
Region XII: SOCCSKSARGEN,COTABATO (NORTH COTABATO),266,2,203
Region XII: SOCCSKSARGEN,COTABATO CITY (NOT A PROVINCE),442,6,275
Region XII: SOCCSKSARGEN,SARANGANI,145,6,121
Region XII: SOCCSKSARGEN,SOUTH COTABATO,1170,27,786
Region XII: SOCCSKSARGEN,SULTAN KUDARAT,159,5,113
