region,province,confirmed,deaths,recovered
BARMM,BASILAN,121,1,108
BARMM,LANAO DEL SUR,243,8,168
BARMM,MAGUINDANAO,158,0,140
BARMM,SULU,35,2,21
BARMM,TAWI-TAWI,13,0,7
CAR,ABRA,76,1,41
CAR,APAYAO,38,0,24
CAR,BENGUET,473,7,241
CAR,IFUGAO,21,0,19
CAR,KALINGA,110,0,33
CAR,MOUNTAIN PROVINCE,18,0,9
CARAGA,AGUSAN DEL NORTE,199,4,119
CARAGA,AGUSAN DEL SUR,57,0,35
CARAGA,DINAGAT ISLANDS,4,0,1
CARAGA,SURIGAO DEL NORTE,91,0,79
CARAGA,SURIGAO DEL SUR,70,0,50
NCR,NCR,101185,1372,66331
Region I: Ilocos Region,ILOCOS NORTE,81,0,50
Region I: Ilocos Region,ILOCOS SUR,116,0,71
Region I: Ilocos Region,LA UNION,250,11,123
Region I: Ilocos Region,PANGASINAN,570,15,357
Region II: Cagayan Valley,CAGAYAN,271,1,175
Region II: Cagayan Valley,ISABELA,367,1,212
Region II: Cagayan Valley,NUEVA VIZCAYA,48,1,26
Region II: Cagayan Valley,QUIRINO,4,0,0
Region III: Central Luzon,AURORA,13,0,2
Region III: Central Luzon,BATAAN,719,8,437
Region III: Central Luzon,BULACAN,3859,41,2145
Region III: Central Luzon,NUEVA ECIJA,498,5,273
Region III: Central Luzon,PAMPANGA,1359,16,575
Region III: Central Luzon,TARLAC,223,6,121
Region III: Central Luzon,ZAMBALES,324,4,125
Region IV-A: CALABARZON,BATANGAS,2900,39,1491
Region IV-A: CALABARZON,CAVITE,8107,65,5014
Region IV-A: CALABARZON,LAGUNA,9454,49,5841
Region IV-A: CALABARZON,QUEZON,987,14,523
Region IV-A: CALABARZON,RIZAL,6370,82,3845
Region IV-B: MIMAROPA,MARINDUQUE,36,0,25
Region IV-B: MIMAROPA,OCCIDENTAL MINDORO,93,1,72
Region IV-B: MIMAROPA,ORIENTAL MINDORO,206,4,96
Region IV-B: MIMAROPA,PALAWAN,238,1,153
Region IV-B: MIMAROPA,ROMBLON,39,0,32
Region IX: Zamboanga Peninsula,CITY OF ISABELA (NOT A PROVINCE),105,1,61
Region IX: Zamboanga Peninsula,ZAMBOANGA DEL NORTE,74,0,54
Region IX: Zamboanga Peninsula,ZAMBOANGA DEL SUR,1116,36,717
Region IX: Zamboanga Peninsula,ZAMBOANGA SIBUGAY,57,0,35
Region V: Bicol Region,ALBAY,460,10,232
Region V: Bicol Region,CAMARINES NORTE,63,2,36
Region V: Bicol Region,CAMARINES SUR,514,6,278
Region V: Bicol Region,CATANDUANES,46,0,24
Region V: Bicol Region,MASBATE,149,0,112
Region V: Bicol Region,SORSOGON,145,2,71
Region VI: Western Visayas,AKLAN,62,1,39
Region VI: Western Visayas,ANTIQUE,97,0,52
Region VI: Western Visayas,CAPIZ,156,3,103
Region VI: Western Visayas,GUIMARAS,88,0,39
Region VI: Western Visayas,ILOILO,1792,23,764
Region VI: Western Visayas,NEGROS OCCIDENTAL,1710,21,850
Region VII: Central Visayas,BOHOL,292,6,182
Region VII: Central Visayas,CEBU,18547,991,15780
Region VII: Central Visayas,NEGROS ORIENTAL,193,5,137
Region VII: Central Visayas,SIQUIJOR,18,0,11
Region VIII: Eastern Visayas,BILIRAN,73,1,56
Region VIII: Eastern Visayas,EASTERN SAMAR,40,1,12
Region VIII: Eastern Visayas,LEYTE,1098,3,688
Region VIII: Eastern Visayas,NORTHERN SAMAR,68,0,50
Region VIII: Eastern Visayas,SAMAR (WESTERN SAMAR),761,3,312
Region VIII: Eastern Visayas,SOUTHERN LEYTE,224,0,164
Region X: Northern Mindanao,BUKIDNON,144,0,105
Region X: Northern Mindanao,CAMIGUIN,18,0,6
Region X: Northern Mindanao,LANAO DEL NORTE,465,4,222
Region X: Northern Mindanao,MISAMIS OCCIDENTAL,177,2,108
Region X: Northern Mindanao,MISAMIS ORIENTAL,454,9,295
Region XI: Davao Region,DAVAO DE ORO,156,1,114
Region XI: Davao Region,DAVAO DEL NORTE,207,5,154
Region XI: Davao Region,DAVAO DEL SUR,1420,47,1040
Region XI: Davao Region,DAVAO OCCIDENTAL,41,2,32
Region XI: Davao Region,DAVAO ORIENTAL,166,1,110
Region XII: SOCCSKSARGEN,COTABATO (NORTH COTABATO),122,1,82
Region XII: SOCCSKSARGEN,COTABATO CITY (NOT A PROVINCE),57,0,43
Region XII: SOCCSKSARGEN,SARANGANI,72,0,66
Region XII: SOCCSKSARGEN,SOUTH COTABATO,237,0,171
Region XII: SOCCSKSARGEN,SULTAN KUDARAT,71,3,55
