region,province,confirmed,deaths,recovered
BARMM,BASILAN,200,3,157
BARMM,LANAO DEL SUR,959,33,738
BARMM,MAGUINDANAO,482,6,350
BARMM,SULU,167,8,50
BARMM,TAWI-TAWI,146,4,123
CAR,ABRA,120,2,100
CAR,APAYAO,45,0,40
CAR,BENGUET,3000,37,1800
CAR,IFUGAO,86,0,66
CAR,KALINGA,210,0,180
CAR,MOUNTAIN PROVINCE,33,0,25
CARAGA,AGUSAN DEL NORTE,1648,43,1125
CARAGA,AGUSAN DEL SUR,276,6,135
CARAGA,DINAGAT ISLANDS,28,0,27
CARAGA,SURIGAO DEL NORTE,430,11,212
CARAGA,SURIGAO DEL SUR,421,23,299
NCR,NCR,177554,3251,162197
Region I: Ilocos Region,ILOCOS NORTE,199,1,185
Region I: Ilocos Region,ILOCOS SUR,150,0,139
Region I: Ilocos Region,LA UNION,571,16,499
Region I: Ilocos Region,PANGASINAN,2128,66,1589
Region II: Cagayan Valley,BATANES,3,0,3
Region II: Cagayan Valley,CAGAYAN,799,7,614
Region II: Cagayan Valley,ISABELA,1506,11,961
Region II: Cagayan Valley,NUEVA VIZCAYA,624,19,574
Region II: Cagayan Valley,QUIRINO,20,0,16
Region III: Central Luzon,AURORA,73,0,4
Region III: Central Luzon,BATAAN,2920,39,2522
Region III: Central Luzon,BULACAN,10559,160,9098
Region III: Central Luzon,NUEVA ECIJA,1549,23,1149
Region III: Central Luzon,PAMPANGA,4566,69,3569
Region III: Central Luzon,TARLAC,756,15,596
Region III: Central Luzon,ZAMBALES,1593,10,1271
Region IV-A: CALABARZON,BATANGAS,10108,151,8234
Region IV-A: CALABARZON,CAVITE,20048,185,17785
Region IV-A: CALABARZON,LAGUNA,19055,147,17244
Region IV-A: CALABARZON,QUEZON,4148,62,2565
Region IV-A: CALABARZON,RIZAL,14903,281,12680
Region IV-B: MIMAROPA,MARINDUQUE,125,1,93
Region IV-B: MIMAROPA,OCCIDENTAL MINDORO,245,6,217
Region IV-B: MIMAROPA,ORIENTAL MINDORO,975,17,850
Region IV-B: MIMAROPA,PALAWAN,517,4,466
Region IV-B: MIMAROPA,ROMBLON,71,0,64
Region IX: Zamboanga Peninsula,CITY OF ISABELA (NOT A PROVINCE),171,4,154
Region IX: Zamboanga Peninsula,ZAMBOANGA DEL NORTE,293,8,152
Region IX: Zamboanga Peninsula,ZAMBOANGA DEL SUR,3252,113,2159
Region IX: Zamboanga Peninsula,ZAMBOANGA SIBUGAY,121,0,79
Region V: Bicol Region,ALBAY,936,42,819
Region V: Bicol Region,CAMARINES NORTE,170,4,135
Region V: Bicol Region,CAMARINES SUR,1342,35,1093
Region V: Bicol Region,CATANDUANES,129,2,112
Region V: Bicol Region,MASBATE,248,1,194
Region V: Bicol Region,SORSOGON,356,14,267
Region VI: Western Visayas,AKLAN,222,7,181
Region VI: Western Visayas,ANTIQUE,164,1,149
Region VI: Western Visayas,CAPIZ,915,31,735
Region VI: Western Visayas,GUIMARAS,189,1,172
Region VI: Western Visayas,ILOILO,6244,143,4900
Region VI: Western Visayas,NEGROS OCCIDENTAL,9509,217,7688
Region VII: Central Visayas,BOHOL,699,10,554
Region VII: Central Visayas,CEBU,22353,1297,20177
Region VII: Central Visayas,NEGROS ORIENTAL,390,6,294
Region VII: Central Visayas,SIQUIJOR,24,0,18
Region VIII: Eastern Visayas,BILIRAN,127,2,125
Region VIII: Eastern Visayas,EASTERN SAMAR,111,1,72
Region VIII: Eastern Visayas,LEYTE,3163,32,2797
Region VIII: Eastern Visayas,NORTHERN SAMAR,626,3,306
Region VIII: Eastern Visayas,SAMAR (WESTERN SAMAR),2239,15,1933
Region VIII: Eastern Visayas,SOUTHERN LEYTE,525,2,419
Region X: Northern Mindanao,BUKIDNON,733,7,486
Region X: Northern Mindanao,CAMIGUIN,43,0,35
Region X: Northern Mindanao,LANAO DEL NORTE,1615,45,1329
Region X: Northern Mindanao,MISAMIS OCCIDENTAL,516,4,352
Region X: Northern Mindanao,MISAMIS ORIENTAL,2503,42,1572
Region XI: Davao Region,DAVAO DE ORO,292,2,247
Region XI: Davao Region,DAVAO DEL NORTE,553,5,391
Region XI: Davao Region,DAVAO DEL SUR,3914,134,2511
Region XI: Davao Region,DAVAO OCCIDENTAL,107,2,86
Region XI: Davao Region,DAVAO ORIENTAL,319,4,266
Region XII: SOCCSKSARGEN,COTABATO (NORTH COTABATO),330,8,262
Region XII: SOCCSKSARGEN,COTABATO CITY (NOT A PROVINCE),619,16,409
Region XII: SOCCSKSARGEN,SARANGANI,238,8,139
Region XII: SOCCSKSARGEN,SOUTH COTABATO,1572,35,1085
Region XII: SOCCSKSARGEN,SULTAN KUDARAT,193,8,146
