region,province,confirmed,deaths,recovered
BARMM,BASILAN,135,1,121
BARMM,LANAO DEL SUR,440,19,277
BARMM,MAGUINDANAO,245,2,184
BARMM,SULU,38,3,28
BARMM,TAWI-TAWI,27,1,12
CAR,ABRA,83,1,72
CAR,APAYAO,43,0,34
CAR,BENGUET,711,12,525
CAR,IFUGAO,32,0,18
CAR,KALINGA,162,0,108
CAR,MOUNTAIN PROVINCE,20,0,13
CARAGA,AGUSAN DEL NORTE,550,11,237
CARAGA,AGUSAN DEL SUR,84,0,67
CARAGA,DINAGAT ISLANDS,14,0,10
CARAGA,SURIGAO DEL NORTE,105,0,93
CARAGA,SURIGAO DEL SUR,111,1,78
NCR,NCR,138584,2272,109316
Region I: Ilocos Region,ILOCOS NORTE,145,2,79
Region I: Ilocos Region,ILOCOS SUR,135,0,109
Region I: Ilocos Region,LA UNION,382,12,244
Region I: Ilocos Region,PANGASINAN,930,23,588
Region II: Cagayan Valley,CAGAYAN,421,3,281
Region II: Cagayan Valley,ISABELA,663,4,423
Region II: Cagayan Valley,NUEVA VIZCAYA,357,8,72
Region II: Cagayan Valley,QUIRINO,11,0,5
Region III: Central Luzon,AURORA,3,0,1
Region III: Central Luzon,BATAAN,1865,17,823
Region III: Central Luzon,BULACAN,6228,84,4215
Region III: Central Luzon,NUEVA ECIJA,752,12,515
Region III: Central Luzon,PAMPANGA,2467,37,1447
Region III: Central Luzon,TARLAC,415,10,235
Region III: Central Luzon,ZAMBALES,786,5,384
Region IV-A: CALABARZON,BATANGAS,5630,74,3447
Region IV-A: CALABARZON,CAVITE,12788,116,9161
Region IV-A: CALABARZON,LAGUNA,13791,89,10535
Region IV-A: CALABARZON,QUEZON,1804,28,1112
Region IV-A: CALABARZON,RIZAL,9997,172,7020
Region IV-B: MIMAROPA,MARINDUQUE,50,0,33
Region IV-B: MIMAROPA,OCCIDENTAL MINDORO,117,2,92
Region IV-B: MIMAROPA,ORIENTAL MINDORO,419,12,256
Region IV-B: MIMAROPA,PALAWAN,342,4,235
Region IV-B: MIMAROPA,ROMBLON,48,0,40
Region IX: Zamboanga Peninsula,CITY OF ISABELA (NOT A PROVINCE),125,3,113
Region IX: Zamboanga Peninsula,ZAMBOANGA DEL NORTE,93,0,71
Region IX: Zamboanga Peninsula,ZAMBOANGA DEL SUR,1671,68,1168
Region IX: Zamboanga Peninsula,ZAMBOANGA SIBUGAY,65,0,55
Region V: Bicol Region,ALBAY,739,25,520
Region V: Bicol Region,CAMARINES NORTE,95,2,71
Region V: Bicol Region,CAMARINES SUR,874,13,611
Region V: Bicol Region,CATANDUANES,82,1,50
Region V: Bicol Region,MASBATE,172,0,150
Region V: Bicol Region,SORSOGON,216,6,161
Region VI: Western Visayas,AKLAN,105,1,67
Region VI: Western Visayas,ANTIQUE,119,0,96
Region VI: Western Visayas,CAPIZ,368,9,229
Region VI: Western Visayas,GUIMARAS,122,0,109
Region VI: Western Visayas,ILOILO,3004,50,2287
Region VI: Western Visayas,NEGROS OCCIDENTAL,5228,78,2605
Region VII: Central Visayas,BOHOL,443,8,308
Region VII: Central Visayas,CEBU,20084,1173,17528
Region VII: Central Visayas,NEGROS ORIENTAL,235,4,189
Region VII: Central Visayas,SIQUIJOR,20,0,18
Region VIII: Eastern Visayas,BILIRAN,116,2,95
Region VIII: Eastern Visayas,EASTERN SAMAR,62,1,45
Region VIII: Eastern Visayas,LEYTE,2061,21,1559
Region VIII: Eastern Visayas,NORTHERN SAMAR,161,0,122
Region VIII: Eastern Visayas,SAMAR (WESTERN SAMAR),1354,12,1122
Region VIII: Eastern Visayas,SOUTHERN LEYTE,299,1,239
Region X: Northern Mindanao,BUKIDNON,225,0,159
Region X: Northern Mindanao,CAMIGUIN,28,0,18
Region X: Northern Mindanao,LANAO DEL NORTE,984,22,580
Region X: Northern Mindanao,MISAMIS OCCIDENTAL,279,3,201
Region X: Northern Mindanao,MISAMIS ORIENTAL,803,13,479
Region XI: Davao Region,DAVAO DE ORO,199,1,160
Region XI: Davao Region,DAVAO DEL NORTE,306,5,232
Region XI: Davao Region,DAVAO DEL SUR,1873,58,1533
Region XI: Davao Region,DAVAO OCCIDENTAL,46,2,41
Region XI: Davao Region,DAVAO ORIENTAL,215,1,185
Region XII: SOCCSKSARGEN,COTABATO (NORTH COTABATO),175,1,126
Region XII: SOCCSKSARGEN,COTABATO CITY (NOT A PROVINCE),193,1,73
Region XII: SOCCSKSARGEN,SARANGANI,123,2,78
Region XII: SOCCSKSARGEN,SOUTH COTABATO,587,10,268
Region XII: SOCCSKSARGEN,SULTAN KUDARAT,109,3,72
