region,province,confirmed,deaths,recovered
BARMM,BASILAN,125,1,111
BARMM,LANAO DEL SUR,295,8,174
BARMM,MAGUINDANAO,198,1,142
BARMM,SULU,33,2,21
BARMM,TAWI-TAWI,14,0,7
CAR,ABRA,84,1,43
CAR,APAYAO,38,0,24
CAR,BENGUET,549,8,241
CAR,IFUGAO,20,0,19
CAR,KALINGA,123,0,34
CAR,MOUNTAIN PROVINCE,21,0,9
CARAGA,AGUSAN DEL NORTE,235,4,119
CARAGA,AGUSAN DEL SUR,72,0,36
CARAGA,DINAGAT ISLANDS,11,0,1
CARAGA,SURIGAO DEL NORTE,96,0,79
CARAGA,SURIGAO DEL SUR,81,0,49
NCR,CAVITE,1,0,1
NCR,NCR,112080,1617,68690
Region I: Ilocos Region,ILOCOS NORTE,90,0,53
Region I: Ilocos Region,ILOCOS SUR,116,0,71
Region I: Ilocos Region,LA UNION,262,11,124
Region I: Ilocos Region,PANGASINAN,645,17,358
Region II: Cagayan Valley,CAGAYAN,325,2,186
Region II: Cagayan Valley,ISABELA,413,1,266
Region II: Cagayan Valley,NUEVA VIZCAYA,76,1,31
Region II: Cagayan Valley,QUIRINO,5,0,0
Region III: Central Luzon,AURORA,6,0,0
Region III: Central Luzon,BATAAN,861,8,437
Region III: Central Luzon,BULACAN,4282,56,2176
Region III: Central Luzon,NUEVA ECIJA,545,8,273
Region III: Central Luzon,PAMPANGA,1643,29,586
Region III: Central Luzon,TARLAC,252,7,121
Region III: Central Luzon,ZAMBALES,458,4,127
Region IV-A: CALABARZON,BATANGAS,3487,44,1543
Region IV-A: CALABARZON,CAVITE,9068,75,5113
Region IV-A: CALABARZON,LAGUNA,10551,58,5868
Region IV-A: CALABARZON,QUEZON,1229,18,569
Region IV-A: CALABARZON,RIZAL,7028,110,3959
Region IV-B: MIMAROPA,MARINDUQUE,39,0,27
Region IV-B: MIMAROPA,OCCIDENTAL MINDORO,96,1,74
Region IV-B: MIMAROPA,ORIENTAL MINDORO,256,4,152
Region IV-B: MIMAROPA,PALAWAN,243,2,162
Region IV-B: MIMAROPA,ROMBLON,41,0,32
Region IX: Zamboanga Peninsula,CITY OF ISABELA (NOT A PROVINCE),114,2,75
Region IX: Zamboanga Peninsula,ZAMBOANGA DEL NORTE,77,0,53
Region IX: Zamboanga Peninsula,ZAMBOANGA DEL SUR,1261,47,757
Region IX: Zamboanga Peninsula,ZAMBOANGA SIBUGAY,60,0,36
Region V: Bicol Region,ALBAY,520,13,239
Region V: Bicol Region,CAMARINES NORTE,73,3,38
Region V: Bicol Region,CAMARINES SUR,578,7,280
Region V: Bicol Region,CATANDUANES,53,0,26
Region V: Bicol Region,MASBATE,155,0,112
Region V: Bicol Region,SORSOGON,170,4,72
Region VI: Western Visayas,AKLAN,67,1,42
Region VI: Western Visayas,ANTIQUE,101,0,52
Region VI: Western Visayas,CAPIZ,196,3,106
Region VI: Western Visayas,GUIMARAS,101,0,44
Region VI: Western Visayas,ILOILO,2048,27,839
Region VI: Western Visayas,NEGROS OCCIDENTAL,2608,28,897
Region VII: Central Visayas,BOHOL,356,6,179
Region VII: Central Visayas,CEBU,18882,1007,15953
Region VII: Central Visayas,NEGROS ORIENTAL,201,5,137
Region VII: Central Visayas,SIQUIJOR,18,0,11
Region VIII: Eastern Visayas,BILIRAN,80,1,62
Region VIII: Eastern Visayas,EASTERN SAMAR,44,1,20
Region VIII: Eastern Visayas,LEYTE,1282,5,796
Region VIII: Eastern Visayas,NORTHERN SAMAR,82,0,56
Region VIII: Eastern Visayas,SAMAR (WESTERN SAMAR),987,4,362
Region VIII: Eastern Visayas,SOUTHERN LEYTE,233,1,174
Region X: Northern Mindanao,BUKIDNON,162,0,104
Region X: Northern Mindanao,CAMIGUIN,19,0,6
Region X: Northern Mindanao,LANAO DEL NORTE,564,7,223
Region X: Northern Mindanao,MISAMIS OCCIDENTAL,204,2,110
Region X: Northern Mindanao,MISAMIS ORIENTAL,501,10,294
Region XI: Davao Region,DAVAO DE ORO,162,1,116
Region XI: Davao Region,DAVAO DEL NORTE,223,5,161
Region XI: Davao Region,DAVAO DEL SUR,1473,48,1117
Region XI: Davao Region,DAVAO OCCIDENTAL,43,2,32
Region XI: Davao Region,DAVAO ORIENTAL,172,1,135
Region XII: SOCCSKSARGEN,COTABATO (NORTH COTABATO),131,1,83
Region XII: SOCCSKSARGEN,COTABATO CITY (NOT A PROVINCE),62,0,43
Region XII: SOCCSKSARGEN,SARANGANI,76,0,68
Region XII: SOCCSKSARGEN,SOUTH COTABATO,262,0,173
Region XII: SOCCSKSARGEN,SULTAN KUDARAT,78,3,58
