region,province,confirmed,deaths,recovered
BARMM,BASILAN,134,1,121
BARMM,LANAO DEL SUR,433,19,277
BARMM,MAGUINDANAO,244,2,184
BARMM,SULU,38,3,28
BARMM,TAWI-TAWI,27,1,12
CAR,ABRA,82,1,72
CAR,APAYAO,42,0,34
CAR,BENGUET,695,12,517
CAR,IFUGAO,30,0,18
CAR,KALINGA,162,0,108
CAR,MOUNTAIN PROVINCE,20,0,13
CARAGA,AGUSAN DEL NORTE,501,11,236
CARAGA,AGUSAN DEL SUR,81,0,67
CARAGA,DINAGAT ISLANDS,14,0,10
CARAGA,SURIGAO DEL NORTE,106,0,93
CARAGA,SURIGAO DEL SUR,97,1,77
NCR,NCR,137137,2247,109125
Region I: Ilocos Region,ILOCOS NORTE,147,2,80
Region I: Ilocos Region,ILOCOS SUR,135,0,109
Region I: Ilocos Region,LA UNION,380,12,243
Region I: Ilocos Region,PANGASINAN,928,23,590
Region II: Cagayan Valley,CAGAYAN,422,3,281
Region II: Cagayan Valley,ISABELA,658,4,422
Region II: Cagayan Valley,NUEVA VIZCAYA,325,8,71
Region II: Cagayan Valley,QUIRINO,11,0,5
Region III: Central Luzon,AURORA,3,0,1
Region III: Central Luzon,BATAAN,1770,15,814
Region III: Central Luzon,BULACAN,6047,84,4207
Region III: Central Luzon,NUEVA ECIJA,750,12,515
Region III: Central Luzon,PAMPANGA,2406,37,1442
Region III: Central Luzon,TARLAC,398,10,231
Region III: Central Luzon,ZAMBALES,774,6,387
Region IV-A: CALABARZON,BATANGAS,5528,64,3409
Region IV-A: CALABARZON,CAVITE,12599,111,9157
Region IV-A: CALABARZON,LAGUNA,13615,86,10528
Region IV-A: CALABARZON,QUEZON,1774,28,1112
Region IV-A: CALABARZON,RIZAL,9719,171,6998
Region IV-B: MIMAROPA,MARINDUQUE,51,0,33
Region IV-B: MIMAROPA,OCCIDENTAL MINDORO,115,2,91
Region IV-B: MIMAROPA,ORIENTAL MINDORO,420,12,256
Region IV-B: MIMAROPA,PALAWAN,325,2,233
Region IV-B: MIMAROPA,ROMBLON,48,0,40
Region IX: Zamboanga Peninsula,CITY OF ISABELA (NOT A PROVINCE),124,3,113
Region IX: Zamboanga Peninsula,ZAMBOANGA DEL NORTE,97,0,71
Region IX: Zamboanga Peninsula,ZAMBOANGA DEL SUR,1659,66,1164
Region IX: Zamboanga Peninsula,ZAMBOANGA SIBUGAY,65,0,55
Region V: Bicol Region,ALBAY,741,25,521
Region V: Bicol Region,CAMARINES NORTE,94,2,71
Region V: Bicol Region,CAMARINES SUR,873,12,611
Region V: Bicol Region,CATANDUANES,83,1,50
Region V: Bicol Region,MASBATE,171,0,150
Region V: Bicol Region,SORSOGON,217,6,162
Region VI: Western Visayas,AKLAN,105,1,67
Region VI: Western Visayas,ANTIQUE,120,0,96
Region VI: Western Visayas,CAPIZ,365,9,226
Region VI: Western Visayas,GUIMARAS,122,0,106
Region VI: Western Visayas,ILOILO,2988,46,2277
Region VI: Western Visayas,NEGROS OCCIDENTAL,5114,72,2588
Region VII: Central Visayas,BOHOL,436,8,309
Region VII: Central Visayas,CEBU,20069,1167,17498
Region VII: Central Visayas,NEGROS ORIENTAL,234,4,188
Region VII: Central Visayas,SIQUIJOR,20,0,18
Region VIII: Eastern Visayas,BILIRAN,116,2,94
Region VIII: Eastern Visayas,EASTERN SAMAR,62,1,45
Region VIII: Eastern Visayas,LEYTE,2028,19,1535
Region VIII: Eastern Visayas,NORTHERN SAMAR,159,0,115
Region VIII: Eastern Visayas,SAMAR (WESTERN SAMAR),1332,12,1060
Region VIII: Eastern Visayas,SOUTHERN LEYTE,284,1,233
Region X: Northern Mindanao,BUKIDNON,221,0,159
Region X: Northern Mindanao,CAMIGUIN,28,0,18
Region X: Northern Mindanao,LANAO DEL NORTE,956,22,580
Region X: Northern Mindanao,MISAMIS OCCIDENTAL,279,3,202
Region X: Northern Mindanao,MISAMIS ORIENTAL,794,13,479
Region XI: Davao Region,DAVAO DE ORO,194,1,160
Region XI: Davao Region,DAVAO DEL NORTE,302,5,226
Region XI: Davao Region,DAVAO DEL SUR,1852,58,1484
Region XI: Davao Region,DAVAO OCCIDENTAL,47,2,40
Region XI: Davao Region,DAVAO ORIENTAL,210,1,179
Region XII: SOCCSKSARGEN,COTABATO (NORTH COTABATO),167,1,126
Region XII: SOCCSKSARGEN,COTABATO CITY (NOT A PROVINCE),171,1,73
Region XII: SOCCSKSARGEN,SARANGANI,122,2,77
Region XII: SOCCSKSARGEN,SOUTH COTABATO,576,8,270
Region XII: SOCCSKSARGEN,SULTAN KUDARAT,109,3,72
