region,province,confirmed,deaths,recovered
BARMM,BASILAN,200,3,157
BARMM,LANAO DEL SUR,950,32,738
BARMM,MAGUINDANAO,469,6,350
BARMM,SULU,164,8,50
BARMM,TAWI-TAWI,146,4,123
CAR,ABRA,119,2,100
CAR,APAYAO,45,0,40
CAR,BENGUET,2950,35,1751
CAR,IFUGAO,86,0,64
CAR,KALINGA,210,0,178
CAR,MOUNTAIN PROVINCE,32,0,25
CARAGA,AGUSAN DEL NORTE,1632,43,1125
CARAGA,AGUSAN DEL SUR,269,6,135
CARAGA,DINAGAT ISLANDS,28,0,27
CARAGA,SURIGAO DEL NORTE,429,11,212
CARAGA,SURIGAO DEL SUR,421,23,299
NCR,NCR,177039,3239,161837
Region I: Ilocos Region,ILOCOS NORTE,199,1,185
Region I: Ilocos Region,ILOCOS SUR,150,0,139
Region I: Ilocos Region,LA UNION,567,16,499
Region I: Ilocos Region,PANGASINAN,2119,65,1574
Region II: Cagayan Valley,BATANES,3,0,3
Region II: Cagayan Valley,CAGAYAN,788,7,614
Region II: Cagayan Valley,ISABELA,1478,11,957
Region II: Cagayan Valley,NUEVA VIZCAYA,621,19,574
Region II: Cagayan Valley,QUIRINO,20,0,16
Region III: Central Luzon,AURORA,65,0,4
Region III: Central Luzon,BATAAN,2898,39,2523
Region III: Central Luzon,BULACAN,10503,158,9093
Region III: Central Luzon,NUEVA ECIJA,1540,23,1151
Region III: Central Luzon,PAMPANGA,4487,69,3568
Region III: Central Luzon,TARLAC,754,15,596
Region III: Central Luzon,ZAMBALES,1589,10,1268
Region IV-A: CALABARZON,BATANGAS,10044,151,8224
Region IV-A: CALABARZON,CAVITE,19985,185,17788
Region IV-A: CALABARZON,LAGUNA,18991,147,17247
Region IV-A: CALABARZON,QUEZON,4090,62,2565
Region IV-A: CALABARZON,RIZAL,14831,278,12655
Region IV-B: MIMAROPA,MARINDUQUE,125,1,93
Region IV-B: MIMAROPA,OCCIDENTAL MINDORO,245,6,217
Region IV-B: MIMAROPA,ORIENTAL MINDORO,967,17,851
Region IV-B: MIMAROPA,PALAWAN,517,4,466
Region IV-B: MIMAROPA,ROMBLON,71,0,64
Region IX: Zamboanga Peninsula,CITY OF ISABELA (NOT A PROVINCE),171,4,154
Region IX: Zamboanga Peninsula,ZAMBOANGA DEL NORTE,287,8,152
Region IX: Zamboanga Peninsula,ZAMBOANGA DEL SUR,3185,113,2159
Region IX: Zamboanga Peninsula,ZAMBOANGA SIBUGAY,113,0,79
Region V: Bicol Region,ALBAY,929,42,819
Region V: Bicol Region,CAMARINES NORTE,166,4,135
Region V: Bicol Region,CAMARINES SUR,1341,35,1093
Region V: Bicol Region,CATANDUANES,129,2,112
Region V: Bicol Region,MASBATE,248,1,194
Region V: Bicol Region,SORSOGON,351,14,267
Region VI: Western Visayas,AKLAN,220,7,181
Region VI: Western Visayas,ANTIQUE,164,1,149
Region VI: Western Visayas,CAPIZ,913,31,735
Region VI: Western Visayas,GUIMARAS,189,1,172
Region VI: Western Visayas,ILOILO,6195,141,4712
Region VI: Western Visayas,NEGROS OCCIDENTAL,9424,217,7685
Region VII: Central Visayas,BOHOL,692,10,555
Region VII: Central Visayas,CEBU,22340,1297,20178
Region VII: Central Visayas,NEGROS ORIENTAL,390,6,293
Region VII: Central Visayas,SIQUIJOR,24,0,18
Region VIII: Eastern Visayas,BILIRAN,127,2,125
Region VIII: Eastern Visayas,EASTERN SAMAR,107,1,72
Region VIII: Eastern Visayas,LEYTE,3141,32,2798
Region VIII: Eastern Visayas,NORTHERN SAMAR,557,3,279
Region VIII: Eastern Visayas,SAMAR (WESTERN SAMAR),2204,15,1917
Region VIII: Eastern Visayas,SOUTHERN LEYTE,525,2,405
Region X: Northern Mindanao,BUKIDNON,730,7,486
Region X: Northern Mindanao,CAMIGUIN,43,0,35
Region X: Northern Mindanao,LANAO DEL NORTE,1613,43,1326
Region X: Northern Mindanao,MISAMIS OCCIDENTAL,516,4,352
Region X: Northern Mindanao,MISAMIS ORIENTAL,2466,42,1568
Region XI: Davao Region,DAVAO DE ORO,286,2,246
Region XI: Davao Region,DAVAO DEL NORTE,542,5,390
Region XI: Davao Region,DAVAO DEL SUR,3839,128,2506
Region XI: Davao Region,DAVAO OCCIDENTAL,107,2,86
Region XI: Davao Region,DAVAO ORIENTAL,312,2,266
Region XII: SOCCSKSARGEN,COTABATO (NORTH COTABATO),326,8,259
Region XII: SOCCSKSARGEN,COTABATO CITY (NOT A PROVINCE),606,16,409
Region XII: SOCCSKSARGEN,SARANGANI,236,7,139
Region XII: SOCCSKSARGEN,SOUTH COTABATO,1561,35,1084
Region XII: SOCCSKSARGEN,SULTAN KUDARAT,192,8,146
