region,province,confirmed,deaths,recovered
BARMM,BASILAN,120,1,103
BARMM,LANAO DEL SUR,241,8,165
BARMM,MAGUINDANAO,157,0,134
BARMM,SULU,29,2,18
BARMM,TAWI-TAWI,12,0,6
CAR,ABRA,79,1,30
CAR,APAYAO,39,0,20
CAR,BENGUET,458,7,203
CAR,IFUGAO,24,0,19
CAR,KALINGA,94,0,29
CAR,MOUNTAIN PROVINCE,16,0,8
CARAGA,AGUSAN DEL NORTE,152,1,103
CARAGA,AGUSAN DEL SUR,55,0,29
CARAGA,DINAGAT ISLANDS,3,0,1
CARAGA,SURIGAO DEL NORTE,82,0,65
CARAGA,SURIGAO DEL SUR,66,0,36
NCR,NCR,93603,1322,55490
Region I: Ilocos Region,ILOCOS NORTE,72,0,34
Region I: Ilocos Region,ILOCOS SUR,108,0,62
Region I: Ilocos Region,LA UNION,247,11,93
Region I: Ilocos Region,PANGASINAN,518,14,300
Region II: Cagayan Valley,CAGAYAN,240,1,157
Region II: Cagayan Valley,ISABELA,361,1,160
Region II: Cagayan Valley,NUEVA VIZCAYA,49,1,29
Region II: Cagayan Valley,QUIRINO,3,0,0
Region III: Central Luzon,AURORA,12,0,1
Region III: Central Luzon,BATAAN,666,9,355
Region III: Central Luzon,BULACAN,3393,38,1702
Region III: Central Luzon,NUEVA ECIJA,445,5,213
Region III: Central Luzon,PAMPANGA,1110,15,414
Region III: Central Luzon,TARLAC,200,5,97
Region III: Central Luzon,ZAMBALES,243,4,103
Region IV-A: CALABARZON,BATANGAS,2581,38,1092
Region IV-A: CALABARZON,CAVITE,7258,63,4115
Region IV-A: CALABARZON,LAGUNA,8687,45,4722
Region IV-A: CALABARZON,QUEZON,927,14,393
Region IV-A: CALABARZON,RIZAL,5805,84,3031
Region IV-B: MIMAROPA,MARINDUQUE,35,0,21
Region IV-B: MIMAROPA,OCCIDENTAL MINDORO,86,1,66
Region IV-B: MIMAROPA,ORIENTAL MINDORO,194,4,68
Region IV-B: MIMAROPA,PALAWAN,211,1,128
Region IV-B: MIMAROPA,ROMBLON,39,0,27
Region IX: Zamboanga Peninsula,CITY OF ISABELA (NOT A PROVINCE),85,1,44
Region IX: Zamboanga Peninsula,ZAMBOANGA DEL NORTE,65,0,48
Region IX: Zamboanga Peninsula,ZAMBOANGA DEL SUR,1049,35,647
Region IX: Zamboanga Peninsula,ZAMBOANGA SIBUGAY,50,0,29
Region V: Bicol Region,ALBAY,395,9,188
Region V: Bicol Region,CAMARINES NORTE,62,1,27
Region V: Bicol Region,CAMARINES SUR,456,5,218
Region V: Bicol Region,CATANDUANES,40,0,18
Region V: Bicol Region,MASBATE,145,0,85
Region V: Bicol Region,SORSOGON,125,2,47
Region VI: Western Visayas,AKLAN,59,1,33
Region VI: Western Visayas,ANTIQUE,89,0,48
Region VI: Western Visayas,CAPIZ,144,3,91
Region VI: Western Visayas,GUIMARAS,80,0,37
Region VI: Western Visayas,ILOILO,1651,23,635
Region VI: Western Visayas,NEGROS OCCIDENTAL,1454,19,664
Region VII: Central Visayas,BOHOL,268,6,156
Region VII: Central Visayas,CEBU,18315,986,15346
Region VII: Central Visayas,NEGROS ORIENTAL,182,5,131
Region VII: Central Visayas,SIQUIJOR,18,0,10
Region VIII: Eastern Visayas,BILIRAN,71,1,43
Region VIII: Eastern Visayas,EASTERN SAMAR,37,1,9
Region VIII: Eastern Visayas,LEYTE,984,3,607
Region VIII: Eastern Visayas,NORTHERN SAMAR,61,0,41
Region VIII: Eastern Visayas,SAMAR (WESTERN SAMAR),514,3,253
Region VIII: Eastern Visayas,SOUTHERN LEYTE,211,0,149
Region X: Northern Mindanao,BUKIDNON,137,0,91
Region X: Northern Mindanao,CAMIGUIN,17,0,5
Region X: Northern Mindanao,LANAO DEL NORTE,432,4,195
Region X: Northern Mindanao,MISAMIS OCCIDENTAL,170,1,93
Region X: Northern Mindanao,MISAMIS ORIENTAL,429,9,251
Region XI: Davao Region,DAVAO DE ORO,150,1,103
Region XI: Davao Region,DAVAO DEL NORTE,188,4,137
Region XI: Davao Region,DAVAO DEL SUR,1358,48,980
Region XI: Davao Region,DAVAO OCCIDENTAL,41,2,31
Region XI: Davao Region,DAVAO ORIENTAL,164,1,103
Region XII: SOCCSKSARGEN,COTABATO (NORTH COTABATO),111,1,66
Region XII: SOCCSKSARGEN,COTABATO CITY (NOT A PROVINCE),55,0,43
Region XII: SOCCSKSARGEN,SARANGANI,77,0,70
Region XII: SOCCSKSARGEN,SOUTH COTABATO,227,0,157
Region XII: SOCCSKSARGEN,SULTAN KUDARAT,70,3,49
