region,province,confirmed,deaths,recovered
BARMM,BASILAN,120,1,103
BARMM,LANAO DEL SUR,235,5,166
BARMM,MAGUINDANAO,159,0,135
BARMM,SULU,28,2,17
BARMM,TAWI-TAWI,12,0,6
CAR,ABRA,75,1,30
CAR,APAYAO,39,0,21
CAR,BENGUET,450,6,201
CAR,IFUGAO,25,0,20
CAR,KALINGA,88,0,29
CAR,MOUNTAIN PROVINCE,17,0,9
CARAGA,AGUSAN DEL NORTE,145,1,103
CARAGA,AGUSAN DEL SUR,55,0,31
CARAGA,DINAGAT ISLANDS,3,0,1
CARAGA,SURIGAO DEL NORTE,85,0,67
CARAGA,SURIGAO DEL SUR,61,0,35
NCR,NCR,88226,1259,54541
Region I: Ilocos Region,ILOCOS NORTE,69,0,34
Region I: Ilocos Region,ILOCOS SUR,104,0,60
Region I: Ilocos Region,LA UNION,243,9,94
Region I: Ilocos Region,PANGASINAN,486,14,297
Region II: Cagayan Valley,CAGAYAN,237,1,162
Region II: Cagayan Valley,ISABELA,353,1,158
Region II: Cagayan Valley,NUEVA VIZCAYA,56,1,33
Region II: Cagayan Valley,QUIRINO,4,0,0
Region III: Central Luzon,AURORA,12,0,1
Region III: Central Luzon,BATAAN,633,8,356
Region III: Central Luzon,BULACAN,3163,38,1679
Region III: Central Luzon,NUEVA ECIJA,412,5,213
Region III: Central Luzon,PAMPANGA,980,15,417
Region III: Central Luzon,TARLAC,191,5,97
Region III: Central Luzon,ZAMBALES,203,4,102
Region IV-A: CALABARZON,BATANGAS,2329,38,1085
Region IV-A: CALABARZON,CAVITE,6820,57,4068
Region IV-A: CALABARZON,LAGUNA,8131,43,4612
Region IV-A: CALABARZON,QUEZON,854,14,395
Region IV-A: CALABARZON,RIZAL,5507,77,3005
Region IV-B: MIMAROPA,MARINDUQUE,32,0,20
Region IV-B: MIMAROPA,OCCIDENTAL MINDORO,88,1,67
Region IV-B: MIMAROPA,ORIENTAL MINDORO,181,4,70
Region IV-B: MIMAROPA,PALAWAN,202,1,119
Region IV-B: MIMAROPA,ROMBLON,40,0,26
Region IX: Zamboanga Peninsula,CITY OF ISABELA (NOT A PROVINCE),81,0,43
Region IX: Zamboanga Peninsula,ZAMBOANGA DEL NORTE,63,0,47
Region IX: Zamboanga Peninsula,ZAMBOANGA DEL SUR,1007,35,639
Region IX: Zamboanga Peninsula,ZAMBOANGA SIBUGAY,51,0,26
Region V: Bicol Region,ALBAY,367,9,190
Region V: Bicol Region,CAMARINES NORTE,63,1,28
Region V: Bicol Region,CAMARINES SUR,399,5,219
Region V: Bicol Region,CATANDUANES,37,0,18
Region V: Bicol Region,MASBATE,144,0,85
Region V: Bicol Region,SORSOGON,109,2,48
Region VI: Western Visayas,AKLAN,56,1,31
Region VI: Western Visayas,ANTIQUE,85,0,45
Region VI: Western Visayas,CAPIZ,139,2,85
Region VI: Western Visayas,GUIMARAS,73,0,37
Region VI: Western Visayas,ILOILO,1520,20,610
Region VI: Western Visayas,NEGROS OCCIDENTAL,1346,9,635
Region VII: Central Visayas,BOHOL,266,6,160
Region VII: Central Visayas,CEBU,18133,946,15266
Region VII: Central Visayas,NEGROS ORIENTAL,176,3,133
Region VII: Central Visayas,SIQUIJOR,17,0,10
Region VIII: Eastern Visayas,BILIRAN,67,1,37
Region VIII: Eastern Visayas,EASTERN SAMAR,23,0,8
Region VIII: Eastern Visayas,LEYTE,939,0,553
Region VIII: Eastern Visayas,NORTHERN SAMAR,59,0,40
Region VIII: Eastern Visayas,SAMAR (WESTERN SAMAR),452,2,233
Region VIII: Eastern Visayas,SOUTHERN LEYTE,204,0,131
Region X: Northern Mindanao,BUKIDNON,130,0,90
Region X: Northern Mindanao,CAMIGUIN,16,0,4
Region X: Northern Mindanao,LANAO DEL NORTE,393,4,195
Region X: Northern Mindanao,MISAMIS OCCIDENTAL,168,1,88
Region X: Northern Mindanao,MISAMIS ORIENTAL,425,9,254
Region XI: Davao Region,DAVAO DE ORO,148,1,103
Region XI: Davao Region,DAVAO DEL NORTE,185,4,133
Region XI: Davao Region,DAVAO DEL SUR,1314,48,947
Region XI: Davao Region,DAVAO OCCIDENTAL,39,2,31
Region XI: Davao Region,DAVAO ORIENTAL,161,1,94
Region XII: SOCCSKSARGEN,COTABATO (NORTH COTABATO),110,1,65
Region XII: SOCCSKSARGEN,COTABATO CITY (NOT A PROVINCE),55,0,43
Region XII: SOCCSKSARGEN,SARANGANI,76,0,69
Region XII: SOCCSKSARGEN,SOUTH COTABATO,211,0,143
Region XII: SOCCSKSARGEN,SULTAN KUDARAT,69,3,49
