region,province,confirmed,deaths,recovered
BARMM,LANAO DEL SUR,9,0,0
BARMM,MAGUINDANAO,1,0,0
BARMM,SULU,1,0,0
CAR,ABRA,3,0,0
CAR,BENGUET,41,0,0
CAR,IFUGAO,2,0,0
CARAGA,AGUSAN DEL NORTE,4,0,0
CARAGA,SURIGAO DEL NORTE,1,0,0
CARAGA,SURIGAO DEL SUR,1,0,0
NCR,METRO MANILA,9293,0,0
Region I: Ilocos Region,ILOCOS NORTE,3,0,0
Region I: Ilocos Region,ILOCOS SUR,1,0,0
Region I: Ilocos Region,LA UNION,18,0,0
Region I: Ilocos Region,PANGASINAN,43,0,0
Region II: Cagayan Valley,CAGAYAN,17,0,0
Region II: Cagayan Valley,ISABELA,11,0,0
Region II: Cagayan Valley,NUEVA VIZCAYA,7,0,0
Region III: Central Luzon,BATAAN,127,0,0
Region III: Central Luzon,BULACAN,192,0,0
Region III: Central Luzon,METRO MANILA,2,0,0
Region III: Central Luzon,NUEVA ECIJA,61,0,0
Region III: Central Luzon,PAMPANGA,86,0,0
Region III: Central Luzon,TARLAC PROVINCE,36,0,0
Region III: Central Luzon,ZAMBALES,32,0,0
Region IV-A: CALABARZON,BATANGAS,178,0,0
Region IV-A: CALABARZON,CAVITE,357,0,0
Region IV-A: CALABARZON,LAGUNA,462,0,0
Region IV-A: CALABARZON,QUEZON,85,0,0
Region IV-A: CALABARZON,RIZAL,500,0,0
Region IV-B: MIMAROPA,MARINDUQUE,7,0,0
Region IV-B: MIMAROPA,OCCIDENTAL MINDORO,7,0,0
Region IV-B: MIMAROPA,ORIENTAL MINDORO,19,0,0
Region IV-B: MIMAROPA,PALAWAN,2,0,0
Region IV-B: MIMAROPA,ROMBLON,2,0,0
Region IX: Zamboanga Peninsula,ZAMBOANGA DEL NORTE,2,0,0
Region IX: Zamboanga Peninsula,ZAMBOANGA DEL SUR,127,0,0
Region V: Bicol Region,ALBAY,49,0,0
Region V: Bicol Region,CAMARINES NORTE,2,0,0
Region V: Bicol Region,CAMARINES SUR,12,0,0
Region V: Bicol Region,CATANDUANES,1,0,0
Region V: Bicol Region,MASBATE,1,0,0
Region V: Bicol Region,SORSOGON,1,0,0
Region VI: Western Visayas,AKLAN,8,0,0
Region VI: Western Visayas,ANTIQUE,18,0,0
Region VI: Western Visayas,CAPIZ,5,0,0
Region VI: Western Visayas,GUIMARAS,2,0,0
Region VI: Western Visayas,ILOILO PROVINCE,50,0,0
Region VI: Western Visayas,NEGROS OCCIDENTAL,29,0,0
Region VII: Central Visayas,BOHOL,2,0,0
Region VII: Central Visayas,CEBU PROVINCE,2029,0,0
Region VII: Central Visayas,NEGROS ORIENTAL,7,0,0
Region VIII: Eastern Visayas,EASTERN SAMAR,1,0,0
Region VIII: Eastern Visayas,LEYTE,4,0,0
Region VIII: Eastern Visayas,NORTHERN SAMAR,1,0,0
Region VIII: Eastern Visayas,SAMAR,23,0,0
Region X: Northern Mindanao,BUKIDNON,3,0,0
Region X: Northern Mindanao,CAMIGUIN,1,0,0
Region X: Northern Mindanao,LANAO DEL NORTE,7,0,0
Region X: Northern Mindanao,MISAMIS OCCIDENTAL,5,0,0
Region X: Northern Mindanao,MISAMIS ORIENTAL,14,0,0
Region XI: Davao Region,COMPOSTELA VALLEY,2,0,0
Region XI: Davao Region,DAVAO DEL NORTE,16,0,0
Region XI: Davao Region,DAVAO DEL SUR,256,0,0
Region XI: Davao Region,DAVAO OCCIDENTAL,2,0,0
Region XI: Davao Region,DAVAO ORIENTAL,3,0,0
Region XII: SOCCSKSARGEN,COTABATO,15,0,0
Region XII: SOCCSKSARGEN,SARANGANI,1,0,0
Region XII: SOCCSKSARGEN,SOUTH COTABATO,5,0,0
Region XII: SOCCSKSARGEN,SULTAN KUDARAT,3,0,0
