region,province,confirmed,deaths,recovered
BARMM,BASILAN,120,1,103
BARMM,LANAO DEL SUR,231,4,166
BARMM,MAGUINDANAO,155,0,132
BARMM,SULU,27,2,17
BARMM,TAWI-TAWI,12,0,6
CAR,ABRA,75,1,30
CAR,APAYAO,36,0,21
CAR,BENGUET,436,6,200
CAR,IFUGAO,24,0,20
CAR,KALINGA,82,0,28
CAR,MOUNTAIN PROVINCE,17,0,9
CARAGA,AGUSAN DEL NORTE,141,1,103
CARAGA,AGUSAN DEL SUR,52,0,31
CARAGA,DINAGAT ISLANDS,3,0,1
CARAGA,SURIGAO DEL NORTE,84,0,67
CARAGA,SURIGAO DEL SUR,54,0,34
NCR,NCR,82137,1209,53888
Region I: Ilocos Region,ILOCOS NORTE,67,0,32
Region I: Ilocos Region,ILOCOS SUR,102,0,58
Region I: Ilocos Region,LA UNION,235,9,94
Region I: Ilocos Region,PANGASINAN,455,14,298
Region II: Cagayan Valley,CAGAYAN,232,1,162
Region II: Cagayan Valley,ISABELA,340,1,155
Region II: Cagayan Valley,NUEVA VIZCAYA,52,1,33
Region II: Cagayan Valley,QUIRINO,3,0,0
Region III: Central Luzon,AURORA,9,0,1
Region III: Central Luzon,BATAAN,598,7,348
Region III: Central Luzon,BULACAN,2872,33,1668
Region III: Central Luzon,NUEVA ECIJA,367,5,215
Region III: Central Luzon,PAMPANGA,876,15,416
Region III: Central Luzon,TARLAC,178,5,95
Region III: Central Luzon,ZAMBALES,190,4,100
Region IV-A: CALABARZON,BATANGAS,2114,38,1081
Region IV-A: CALABARZON,CAVITE,5960,53,3830
Region IV-A: CALABARZON,LAGUNA,7597,41,4588
Region IV-A: CALABARZON,QUEZON,814,13,397
Region IV-A: CALABARZON,RIZAL,5127,73,2991
Region IV-B: MIMAROPA,MARINDUQUE,31,0,19
Region IV-B: MIMAROPA,OCCIDENTAL MINDORO,87,1,67
Region IV-B: MIMAROPA,ORIENTAL MINDORO,187,4,71
Region IV-B: MIMAROPA,PALAWAN,196,1,113
Region IV-B: MIMAROPA,ROMBLON,37,0,24
Region IX: Zamboanga Peninsula,CITY OF ISABELA (NOT A PROVINCE),79,0,43
Region IX: Zamboanga Peninsula,ZAMBOANGA DEL NORTE,64,0,47
Region IX: Zamboanga Peninsula,ZAMBOANGA DEL SUR,967,31,637
Region IX: Zamboanga Peninsula,ZAMBOANGA SIBUGAY,45,0,26
Region V: Bicol Region,ALBAY,359,9,187
Region V: Bicol Region,CAMARINES NORTE,61,1,28
Region V: Bicol Region,CAMARINES SUR,383,4,220
Region V: Bicol Region,CATANDUANES,36,0,17
Region V: Bicol Region,MASBATE,144,0,85
Region V: Bicol Region,SORSOGON,106,1,44
Region VI: Western Visayas,AKLAN,53,1,29
Region VI: Western Visayas,ANTIQUE,77,0,45
Region VI: Western Visayas,CAPIZ,128,2,79
Region VI: Western Visayas,GUIMARAS,55,0,33
Region VI: Western Visayas,ILOILO,1385,18,581
Region VI: Western Visayas,NEGROS OCCIDENTAL,1215,9,629
Region VII: Central Visayas,BOHOL,260,6,161
Region VII: Central Visayas,CEBU,17949,916,15186
Region VII: Central Visayas,NEGROS ORIENTAL,168,3,133
Region VII: Central Visayas,SIQUIJOR,16,0,10
Region VIII: Eastern Visayas,BILIRAN,66,1,35
Region VIII: Eastern Visayas,EASTERN SAMAR,26,0,8
Region VIII: Eastern Visayas,LEYTE,877,0,541
Region VIII: Eastern Visayas,NORTHERN SAMAR,57,0,37
Region VIII: Eastern Visayas,SAMAR (WESTERN SAMAR),389,2,229
Region VIII: Eastern Visayas,SOUTHERN LEYTE,196,0,128
Region X: Northern Mindanao,BUKIDNON,124,0,87
Region X: Northern Mindanao,CAMIGUIN,10,0,4
Region X: Northern Mindanao,LANAO DEL NORTE,358,4,193
Region X: Northern Mindanao,MISAMIS OCCIDENTAL,158,1,86
Region X: Northern Mindanao,MISAMIS ORIENTAL,397,9,249
Region XI: Davao Region,DAVAO DE ORO,138,1,102
Region XI: Davao Region,DAVAO DEL NORTE,181,4,126
Region XI: Davao Region,DAVAO DEL SUR,1240,46,900
Region XI: Davao Region,DAVAO OCCIDENTAL,35,2,30
Region XI: Davao Region,DAVAO ORIENTAL,145,1,87
Region XII: SOCCSKSARGEN,COTABATO (NORTH COTABATO),102,1,64
Region XII: SOCCSKSARGEN,COTABATO CITY (NOT A PROVINCE),55,0,43
Region XII: SOCCSKSARGEN,SARANGANI,76,0,69
Region XII: SOCCSKSARGEN,SOUTH COTABATO,201,0,134
Region XII: SOCCSKSARGEN,SULTAN KUDARAT,65,3,46
