region,province,confirmed,deaths,recovered
BARMM,BASILAN,122,1,110
BARMM,LANAO DEL SUR,248,8,173
BARMM,MAGUINDANAO,159,0,140
BARMM,SULU,34,2,21
BARMM,TAWI-TAWI,14,0,7
CAR,ABRA,77,1,41
CAR,APAYAO,38,0,24
CAR,BENGUET,491,7,240
CAR,IFUGAO,22,0,19
CAR,KALINGA,114,0,33
CAR,MOUNTAIN PROVINCE,18,0,9
CARAGA,AGUSAN DEL NORTE,201,4,119
CARAGA,AGUSAN DEL SUR,58,0,35
CARAGA,DINAGAT ISLANDS,3,0,1
CARAGA,SURIGAO DEL NORTE,91,0,79
CARAGA,SURIGAO DEL SUR,71,0,50
NCR,NCR,102862,1392,66607
Region I: Ilocos Region,ILOCOS NORTE,82,0,52
Region I: Ilocos Region,ILOCOS SUR,117,0,71
Region I: Ilocos Region,LA UNION,253,11,123
Region I: Ilocos Region,PANGASINAN,578,15,360
Region II: Cagayan Valley,CAGAYAN,276,1,184
Region II: Cagayan Valley,ISABELA,374,1,265
Region II: Cagayan Valley,NUEVA VIZCAYA,49,1,30
Region II: Cagayan Valley,QUIRINO,4,0,0
Region III: Central Luzon,AURORA,14,0,2
Region III: Central Luzon,BATAAN,761,8,440
Region III: Central Luzon,BULACAN,3939,41,2157
Region III: Central Luzon,NUEVA ECIJA,509,5,273
Region III: Central Luzon,PAMPANGA,1458,16,581
Region III: Central Luzon,TARLAC,226,6,122
Region III: Central Luzon,ZAMBALES,359,4,126
Region IV-A: CALABARZON,BATANGAS,2996,40,1516
Region IV-A: CALABARZON,CAVITE,8221,64,5016
Region IV-A: CALABARZON,LAGUNA,9605,49,5841
Region IV-A: CALABARZON,QUEZON,1005,16,564
Region IV-A: CALABARZON,RIZAL,6449,82,3863
Region IV-B: MIMAROPA,MARINDUQUE,37,0,25
Region IV-B: MIMAROPA,OCCIDENTAL MINDORO,95,1,74
Region IV-B: MIMAROPA,ORIENTAL MINDORO,228,4,103
Region IV-B: MIMAROPA,PALAWAN,238,2,157
Region IV-B: MIMAROPA,ROMBLON,39,0,32
Region IX: Zamboanga Peninsula,CITY OF ISABELA (NOT A PROVINCE),111,1,68
Region IX: Zamboanga Peninsula,ZAMBOANGA DEL NORTE,74,0,54
Region IX: Zamboanga Peninsula,ZAMBOANGA DEL SUR,1138,36,721
Region IX: Zamboanga Peninsula,ZAMBOANGA SIBUGAY,57,0,35
Region V: Bicol Region,ALBAY,468,11,238
Region V: Bicol Region,CAMARINES NORTE,64,2,38
Region V: Bicol Region,CAMARINES SUR,520,6,279
Region V: Bicol Region,CATANDUANES,47,0,26
Region V: Bicol Region,MASBATE,149,0,112
Region V: Bicol Region,SORSOGON,151,3,73
Region VI: Western Visayas,AKLAN,64,1,39
Region VI: Western Visayas,ANTIQUE,97,0,52
Region VI: Western Visayas,CAPIZ,157,3,103
Region VI: Western Visayas,GUIMARAS,91,0,39
Region VI: Western Visayas,ILOILO,1820,23,763
Region VI: Western Visayas,NEGROS OCCIDENTAL,1956,21,858
Region VII: Central Visayas,BOHOL,291,6,182
Region VII: Central Visayas,CEBU,18581,993,15780
Region VII: Central Visayas,NEGROS ORIENTAL,195,5,136
Region VII: Central Visayas,SIQUIJOR,18,0,11
Region VIII: Eastern Visayas,BILIRAN,73,1,58
Region VIII: Eastern Visayas,EASTERN SAMAR,41,1,13
Region VIII: Eastern Visayas,LEYTE,1105,3,694
Region VIII: Eastern Visayas,NORTHERN SAMAR,69,0,50
Region VIII: Eastern Visayas,SAMAR (WESTERN SAMAR),763,3,312
Region VIII: Eastern Visayas,SOUTHERN LEYTE,224,0,164
Region X: Northern Mindanao,BUKIDNON,145,0,105
Region X: Northern Mindanao,CAMIGUIN,18,0,6
Region X: Northern Mindanao,LANAO DEL NORTE,485,5,222
Region X: Northern Mindanao,MISAMIS OCCIDENTAL,175,2,108
Region X: Northern Mindanao,MISAMIS ORIENTAL,461,9,295
Region XI: Davao Region,DAVAO DE ORO,156,1,114
Region XI: Davao Region,DAVAO DEL NORTE,208,5,154
Region XI: Davao Region,DAVAO DEL SUR,1427,47,1040
Region XI: Davao Region,DAVAO OCCIDENTAL,41,2,32
Region XI: Davao Region,DAVAO ORIENTAL,166,1,110
Region XII: SOCCSKSARGEN,COTABATO (NORTH COTABATO),121,1,82
Region XII: SOCCSKSARGEN,COTABATO CITY (NOT A PROVINCE),57,0,43
Region XII: SOCCSKSARGEN,SARANGANI,74,0,66
Region XII: SOCCSKSARGEN,SOUTH COTABATO,241,0,171
Region XII: SOCCSKSARGEN,SULTAN KUDARAT,72,3,55
