region,province,confirmed,deaths,recovered
BARMM,BASILAN,1,0,0
BARMM,LANAO DEL SUR,35,0,0
BARMM,MAGUINDANAO,11,0,0
BARMM,SULU,1,0,0
CAR,ABRA,8,0,0
CAR,APAYAO,8,0,0
CAR,BENGUET,79,0,0
CAR,IFUGAO,5,0,0
CAR,KALINGA,7,0,0
CAR,MOUNTAIN PROVINCE,1,0,0
CARAGA,AGUSAN DEL NORTE,43,0,0
CARAGA,AGUSAN DEL SUR,4,0,0
CARAGA,SURIGAO DEL NORTE,25,0,0
CARAGA,SURIGAO DEL SUR,11,0,0
NCR,METRO MANILA,13730,0,0
Region I: Ilocos Region,ILOCOS NORTE,6,0,0
Region I: Ilocos Region,ILOCOS SUR,6,0,0
Region I: Ilocos Region,LA UNION,30,0,0
Region I: Ilocos Region,PANGASINAN,98,0,0
Region II: Cagayan Valley,CAGAYAN,22,0,0
Region II: Cagayan Valley,ISABELA,15,0,0
Region II: Cagayan Valley,NUEVA VIZCAYA,8,0,0
Region III: Central Luzon,BATAAN,173,0,0
Region III: Central Luzon,BULACAN,380,0,0
Region III: Central Luzon,NUEVA ECIJA,83,0,0
Region III: Central Luzon,PAMPANGA,128,0,0
Region III: Central Luzon,TARLAC,47,0,0
Region III: Central Luzon,ZAMBALES,38,0,0
Region IV-A: CALABARZON,BATANGAS,250,0,0
Region IV-A: CALABARZON,CAVITE,580,0,0
Region IV-A: CALABARZON,LAGUNA,606,0,0
Region IV-A: CALABARZON,QUEZON,106,0,0
Region IV-A: CALABARZON,RIZAL,744,0,0
Region IV-B: MIMAROPA,MARINDUQUE,8,0,0
Region IV-B: MIMAROPA,OCCIDENTAL MINDORO,37,0,0
Region IV-B: MIMAROPA,ORIENTAL MINDORO,24,0,0
Region IV-B: MIMAROPA,PALAWAN,15,0,0
Region IV-B: MIMAROPA,ROMBLON,4,0,0
Region IX: Zamboanga Peninsula,ZAMBOANGA DEL NORTE,1,0,0
Region IX: Zamboanga Peninsula,ZAMBOANGA DEL SUR,151,0,0
Region IX: Zamboanga Peninsula,ZAMBOANGA SIBUGAY,2,0,0
Region V: Bicol Region,ALBAY,77,0,0
Region V: Bicol Region,CAMARINES NORTE,7,0,0
Region V: Bicol Region,CAMARINES SUR,26,0,0
Region V: Bicol Region,CATANDUANES,2,0,0
Region V: Bicol Region,MASBATE,2,0,0
Region V: Bicol Region,SORSOGON,3,0,0
Region VI: Western Visayas,AKLAN,11,0,0
Region VI: Western Visayas,ANTIQUE,20,0,0
Region VI: Western Visayas,CAPIZ,8,0,0
Region VI: Western Visayas,GUIMARAS,1,0,0
Region VI: Western Visayas,ILOILO,95,0,0
Region VI: Western Visayas,NEGROS OCCIDENTAL,102,0,0
Region VII: Central Visayas,BOHOL,33,0,0
Region VII: Central Visayas,CEBU,6452,0,0
Region VII: Central Visayas,NEGROS ORIENTAL,28,0,0
Region VIII: Eastern Visayas,BILIRAN,2,0,0
Region VIII: Eastern Visayas,EASTERN SAMAR,2,0,0
Region VIII: Eastern Visayas,LEYTE,194,0,0
Region VIII: Eastern Visayas,NORTHERN SAMAR,7,0,0
Region VIII: Eastern Visayas,SAMAR (WESTERN SAMAR),67,0,0
Region VIII: Eastern Visayas,SOUTHERN LEYTE,45,0,0
Region X: Northern Mindanao,BUKIDNON,6,0,0
Region X: Northern Mindanao,CAMIGUIN,1,0,0
Region X: Northern Mindanao,LANAO DEL NORTE,12,0,0
Region X: Northern Mindanao,MISAMIS OCCIDENTAL,14,0,0
Region X: Northern Mindanao,MISAMIS ORIENTAL,30,0,0
Region XI: Davao Region,DAVAO DE ORO,15,0,0
Region XI: Davao Region,DAVAO DEL NORTE,21,0,0
Region XI: Davao Region,DAVAO DEL SUR,333,0,0
Region XI: Davao Region,DAVAO OCCIDENTAL,2,0,0
Region XI: Davao Region,DAVAO ORIENTAL,7,0,0
Region XII: SOCCSKSARGEN,COTABATO (NORTH COTABATO),8,0,0
Region XII: SOCCSKSARGEN,COTABATO CITY,14,0,0
Region XII: SOCCSKSARGEN,SARANGANI,2,0,0
Region XII: SOCCSKSARGEN,SOUTH COTABATO,14,0,0
Region XII: SOCCSKSARGEN,SULTAN KUDARAT,6,0,0
