region,province,confirmed,deaths,recovered
BARMM,BASILAN,130,1,116
BARMM,LANAO DEL SUR,415,17,228
BARMM,MAGUINDANAO,239,1,182
BARMM,SULU,35,2,30
BARMM,TAWI-TAWI,26,1,10
CAR,ABRA,86,1,70
CAR,APAYAO,41,0,34
CAR,BENGUET,674,10,487
CAR,IFUGAO,34,0,18
CAR,KALINGA,169,0,70
CAR,MOUNTAIN PROVINCE,22,0,13
CARAGA,AGUSAN DEL NORTE,455,10,224
CARAGA,AGUSAN DEL SUR,82,0,61
CARAGA,DINAGAT ISLANDS,13,0,9
CARAGA,SURIGAO DEL NORTE,103,0,90
CARAGA,SURIGAO DEL SUR,95,1,74
NCR,NCR,134080,2062,98435
Region I: Ilocos Region,ILOCOS NORTE,134,2,70
Region I: Ilocos Region,ILOCOS SUR,129,0,93
Region I: Ilocos Region,LA UNION,360,12,232
Region I: Ilocos Region,PANGASINAN,842,21,510
Region II: Cagayan Valley,CAGAYAN,394,2,235
Region II: Cagayan Valley,ISABELA,571,3,364
Region II: Cagayan Valley,NUEVA VIZCAYA,273,6,41
Region II: Cagayan Valley,QUIRINO,10,0,3
Region III: Central Luzon,AURORA,2,0,1
Region III: Central Luzon,BATAAN,1402,11,656
Region III: Central Luzon,BULACAN,5607,81,3643
Region III: Central Luzon,NUEVA ECIJA,700,11,433
Region III: Central Luzon,PAMPANGA,2280,36,1050
Region III: Central Luzon,TARLAC,342,10,200
Region III: Central Luzon,ZAMBALES,682,6,225
Region IV-A: CALABARZON,BATANGAS,5280,61,2891
Region IV-A: CALABARZON,CAVITE,11849,100,7957
Region IV-A: CALABARZON,LAGUNA,13312,80,9034
Region IV-A: CALABARZON,QUEZON,1687,28,907
Region IV-A: CALABARZON,RIZAL,9221,149,6141
Region IV-B: MIMAROPA,MARINDUQUE,48,0,31
Region IV-B: MIMAROPA,OCCIDENTAL MINDORO,106,1,85
Region IV-B: MIMAROPA,ORIENTAL MINDORO,430,12,226
Region IV-B: MIMAROPA,PALAWAN,303,2,215
Region IV-B: MIMAROPA,ROMBLON,45,0,38
Region IX: Zamboanga Peninsula,CITY OF ISABELA (NOT A PROVINCE),122,3,107
Region IX: Zamboanga Peninsula,ZAMBOANGA DEL NORTE,92,0,67
Region IX: Zamboanga Peninsula,ZAMBOANGA DEL SUR,1569,59,1063
Region IX: Zamboanga Peninsula,ZAMBOANGA SIBUGAY,65,0,55
Region V: Bicol Region,ALBAY,713,22,433
Region V: Bicol Region,CAMARINES NORTE,94,2,64
Region V: Bicol Region,CAMARINES SUR,832,12,480
Region V: Bicol Region,CATANDUANES,79,0,44
Region V: Bicol Region,MASBATE,168,0,146
Region V: Bicol Region,SORSOGON,213,5,129
Region VI: Western Visayas,AKLAN,86,1,60
Region VI: Western Visayas,ANTIQUE,116,0,90
Region VI: Western Visayas,CAPIZ,307,8,184
Region VI: Western Visayas,GUIMARAS,119,0,96
Region VI: Western Visayas,ILOILO,2822,41,1943
Region VI: Western Visayas,NEGROS OCCIDENTAL,4664,61,1920
Region VII: Central Visayas,BOHOL,412,7,248
Region VII: Central Visayas,CEBU,19856,1097,17099
Region VII: Central Visayas,NEGROS ORIENTAL,236,5,170
Region VII: Central Visayas,SIQUIJOR,20,0,17
Region VIII: Eastern Visayas,BILIRAN,113,2,78
Region VIII: Eastern Visayas,EASTERN SAMAR,55,1,41
Region VIII: Eastern Visayas,LEYTE,1928,16,1327
Region VIII: Eastern Visayas,NORTHERN SAMAR,159,0,94
Region VIII: Eastern Visayas,SAMAR (WESTERN SAMAR),1312,11,991
Region VIII: Eastern Visayas,SOUTHERN LEYTE,279,1,224
Region X: Northern Mindanao,BUKIDNON,218,0,135
Region X: Northern Mindanao,CAMIGUIN,29,0,17
Region X: Northern Mindanao,LANAO DEL NORTE,907,18,459
Region X: Northern Mindanao,MISAMIS OCCIDENTAL,269,3,167
Region X: Northern Mindanao,MISAMIS ORIENTAL,738,12,423
Region XI: Davao Region,DAVAO DE ORO,193,1,154
Region XI: Davao Region,DAVAO DEL NORTE,289,5,217
Region XI: Davao Region,DAVAO DEL SUR,1774,57,1447
Region XI: Davao Region,DAVAO OCCIDENTAL,46,2,40
Region XI: Davao Region,DAVAO ORIENTAL,201,1,176
Region XII: SOCCSKSARGEN,COTABATO (NORTH COTABATO),164,1,116
Region XII: SOCCSKSARGEN,COTABATO CITY (NOT A PROVINCE),150,1,63
Region XII: SOCCSKSARGEN,SARANGANI,110,2,74
Region XII: SOCCSKSARGEN,SOUTH COTABATO,508,8,228
Region XII: SOCCSKSARGEN,SULTAN KUDARAT,104,3,69
