region,province,confirmed,deaths,recovered
BARMM,BASILAN,128,1,116
BARMM,LANAO DEL SUR,410,17,228
BARMM,MAGUINDANAO,235,1,182
BARMM,SULU,35,2,30
BARMM,TAWI-TAWI,23,1,10
CAR,ABRA,82,1,70
CAR,APAYAO,40,0,34
CAR,BENGUET,641,10,477
CAR,IFUGAO,31,0,18
CAR,KALINGA,164,0,70
CAR,MOUNTAIN PROVINCE,21,0,13
CARAGA,AGUSAN DEL NORTE,450,9,194
CARAGA,AGUSAN DEL SUR,80,0,60
CARAGA,DINAGAT ISLANDS,13,0,9
CARAGA,SURIGAO DEL NORTE,102,0,90
CARAGA,SURIGAO DEL SUR,94,0,74
NCR,NCR,131420,1963,98187
Region I: Ilocos Region,ILOCOS NORTE,127,1,71
Region I: Ilocos Region,ILOCOS SUR,126,0,94
Region I: Ilocos Region,LA UNION,342,12,233
Region I: Ilocos Region,PANGASINAN,807,20,511
Region II: Cagayan Valley,CAGAYAN,386,2,234
Region II: Cagayan Valley,ISABELA,547,3,363
Region II: Cagayan Valley,NUEVA VIZCAYA,263,5,43
Region II: Cagayan Valley,QUIRINO,10,0,3
Region III: Central Luzon,AURORA,2,0,1
Region III: Central Luzon,BATAAN,1348,11,651
Region III: Central Luzon,BULACAN,5441,75,3631
Region III: Central Luzon,NUEVA ECIJA,679,11,432
Region III: Central Luzon,PAMPANGA,2222,35,1050
Region III: Central Luzon,TARLAC,328,10,199
Region III: Central Luzon,ZAMBALES,643,6,224
Region IV-A: CALABARZON,BATANGAS,5129,60,2859
Region IV-A: CALABARZON,CAVITE,11485,95,7936
Region IV-A: CALABARZON,LAGUNA,13047,74,9034
Region IV-A: CALABARZON,QUEZON,1675,26,907
Region IV-A: CALABARZON,RIZAL,8982,144,6118
Region IV-B: MIMAROPA,MARINDUQUE,48,0,31
Region IV-B: MIMAROPA,OCCIDENTAL MINDORO,106,1,86
Region IV-B: MIMAROPA,ORIENTAL MINDORO,386,10,226
Region IV-B: MIMAROPA,PALAWAN,291,2,215
Region IV-B: MIMAROPA,ROMBLON,45,0,38
Region IX: Zamboanga Peninsula,CITY OF ISABELA (NOT A PROVINCE),124,3,107
Region IX: Zamboanga Peninsula,ZAMBOANGA DEL NORTE,95,0,70
Region IX: Zamboanga Peninsula,ZAMBOANGA DEL SUR,1551,57,1066
Region IX: Zamboanga Peninsula,ZAMBOANGA SIBUGAY,68,0,59
Region V: Bicol Region,ALBAY,706,22,433
Region V: Bicol Region,CAMARINES NORTE,90,2,65
Region V: Bicol Region,CAMARINES SUR,811,12,481
Region V: Bicol Region,CATANDUANES,75,0,44
Region V: Bicol Region,MASBATE,167,0,146
Region V: Bicol Region,SORSOGON,206,5,128
Region VI: Western Visayas,AKLAN,78,1,58
Region VI: Western Visayas,ANTIQUE,114,0,90
Region VI: Western Visayas,CAPIZ,296,8,181
Region VI: Western Visayas,GUIMARAS,118,0,96
Region VI: Western Visayas,ILOILO,2739,41,1920
Region VI: Western Visayas,NEGROS OCCIDENTAL,4486,54,1889
Region VII: Central Visayas,BOHOL,403,7,247
Region VII: Central Visayas,CEBU,19738,1061,17112
Region VII: Central Visayas,NEGROS ORIENTAL,232,5,170
Region VII: Central Visayas,SIQUIJOR,20,0,17
Region VIII: Eastern Visayas,BILIRAN,111,2,76
Region VIII: Eastern Visayas,EASTERN SAMAR,53,1,40
Region VIII: Eastern Visayas,LEYTE,1875,16,1278
Region VIII: Eastern Visayas,NORTHERN SAMAR,153,0,88
Region VIII: Eastern Visayas,SAMAR (WESTERN SAMAR),1301,12,962
Region VIII: Eastern Visayas,SOUTHERN LEYTE,268,1,225
Region X: Northern Mindanao,BUKIDNON,212,0,135
Region X: Northern Mindanao,CAMIGUIN,29,0,17
Region X: Northern Mindanao,LANAO DEL NORTE,896,16,458
Region X: Northern Mindanao,MISAMIS OCCIDENTAL,264,3,167
Region X: Northern Mindanao,MISAMIS ORIENTAL,711,12,423
Region XI: Davao Region,DAVAO DE ORO,194,1,154
Region XI: Davao Region,DAVAO DEL NORTE,288,5,211
Region XI: Davao Region,DAVAO DEL SUR,1751,57,1390
Region XI: Davao Region,DAVAO OCCIDENTAL,46,2,40
Region XI: Davao Region,DAVAO ORIENTAL,200,1,174
Region XII: SOCCSKSARGEN,COTABATO (NORTH COTABATO),161,1,113
Region XII: SOCCSKSARGEN,COTABATO CITY (NOT A PROVINCE),149,1,63
Region XII: SOCCSKSARGEN,SARANGANI,109,2,73
Region XII: SOCCSKSARGEN,SOUTH COTABATO,488,8,227
Region XII: SOCCSKSARGEN,SULTAN KUDARAT,102,3,69
