region,province,confirmed,deaths,recovered
BARMM,BASILAN,212,3,170
BARMM,LANAO DEL SUR,983,34,828
BARMM,MAGUINDANAO,519,6,413
BARMM,SULU,196,9,114
BARMM,TAWI-TAWI,148,4,131
CAR,ABRA,111,2,97
CAR,APAYAO,46,0,43
CAR,BENGUET,3551,39,2131
CAR,IFUGAO,92,0,77
CAR,KALINGA,208,0,184
CAR,MOUNTAIN PROVINCE,32,0,27
CARAGA,AGUSAN DEL NORTE,1709,44,1332
CARAGA,AGUSAN DEL SUR,294,6,202
CARAGA,DINAGAT ISLANDS,33,0,26
CARAGA,SURIGAO DEL NORTE,459,11,291
CARAGA,SURIGAO DEL SUR,443,23,347
NCR,NCR,179871,3285,167996
Region I: Ilocos Region,ILOCOS NORTE,202,1,191
Region I: Ilocos Region,ILOCOS SUR,163,0,144
Region I: Ilocos Region,LA UNION,590,16,526
Region I: Ilocos Region,PANGASINAN,2205,71,1799
Region II: Cagayan Valley,BATANES,3,0,3
Region II: Cagayan Valley,CAGAYAN,853,7,684
Region II: Cagayan Valley,ISABELA,1602,11,1288
Region II: Cagayan Valley,NUEVA VIZCAYA,639,19,587
Region II: Cagayan Valley,QUIRINO,21,0,18
Region III: Central Luzon,AURORA,77,0,21
Region III: Central Luzon,BATAAN,2964,40,2668
Region III: Central Luzon,BULACAN,10828,165,9852
Region III: Central Luzon,NUEVA ECIJA,1602,24,1327
Region III: Central Luzon,PAMPANGA,4805,70,3962
Region III: Central Luzon,TARLAC,829,15,666
Region III: Central Luzon,ZAMBALES,1645,17,1426
Region IV-A: CALABARZON,BATANGAS,10380,157,9254
Region IV-A: CALABARZON,CAVITE,20430,186,19006
Region IV-A: CALABARZON,LAGUNA,19410,148,18135
Region IV-A: CALABARZON,QUEZON,4391,62,3430
Region IV-A: CALABARZON,RIZAL,15309,287,13730
Region IV-B: MIMAROPA,MARINDUQUE,127,2,114
Region IV-B: MIMAROPA,OCCIDENTAL MINDORO,253,6,230
Region IV-B: MIMAROPA,ORIENTAL MINDORO,1011,17,892
Region IV-B: MIMAROPA,PALAWAN,523,4,507
Region IV-B: MIMAROPA,ROMBLON,68,0,68
Region IX: Zamboanga Peninsula,CITY OF ISABELA (NOT A PROVINCE),177,4,160
Region IX: Zamboanga Peninsula,ZAMBOANGA DEL NORTE,309,9,220
Region IX: Zamboanga Peninsula,ZAMBOANGA DEL SUR,3469,113,2620
Region IX: Zamboanga Peninsula,ZAMBOANGA SIBUGAY,124,0,99
Region V: Bicol Region,ALBAY,957,42,854
Region V: Bicol Region,CAMARINES NORTE,193,4,154
Region V: Bicol Region,CAMARINES SUR,1417,35,1179
Region V: Bicol Region,CATANDUANES,130,2,118
Region V: Bicol Region,MASBATE,291,1,211
Region V: Bicol Region,SORSOGON,392,16,300
Region VI: Western Visayas,AKLAN,228,7,199
Region VI: Western Visayas,ANTIQUE,169,1,159
Region VI: Western Visayas,CAPIZ,988,33,790
Region VI: Western Visayas,GUIMARAS,190,1,175
Region VI: Western Visayas,ILOILO,6462,148,5301
Region VI: Western Visayas,NEGROS OCCIDENTAL,9764,225,8477
Region VII: Central Visayas,BOHOL,738,11,617
Region VII: Central Visayas,CEBU,22486,1300,20580
Region VII: Central Visayas,NEGROS ORIENTAL,464,6,319
Region VII: Central Visayas,SIQUIJOR,24,0,23
Region VIII: Eastern Visayas,BILIRAN,127,2,125
Region VIII: Eastern Visayas,EASTERN SAMAR,119,1,83
Region VIII: Eastern Visayas,LEYTE,3263,33,2916
Region VIII: Eastern Visayas,NORTHERN SAMAR,741,6,397
Region VIII: Eastern Visayas,SAMAR (WESTERN SAMAR),2282,15,2028
Region VIII: Eastern Visayas,SOUTHERN LEYTE,527,2,463
Region X: Northern Mindanao,BUKIDNON,753,9,598
Region X: Northern Mindanao,CAMIGUIN,43,0,38
Region X: Northern Mindanao,LANAO DEL NORTE,1639,46,1465
Region X: Northern Mindanao,MISAMIS OCCIDENTAL,565,8,421
Region X: Northern Mindanao,MISAMIS ORIENTAL,2656,52,1916
Region XI: Davao Region,DAVAO DE ORO,303,2,259
Region XI: Davao Region,DAVAO DEL NORTE,605,5,444
Region XI: Davao Region,DAVAO DEL SUR,4418,134,3011
Region XI: Davao Region,DAVAO OCCIDENTAL,111,2,100
Region XI: Davao Region,DAVAO ORIENTAL,339,4,289
Region XII: SOCCSKSARGEN,COTABATO (NORTH COTABATO),353,9,286
Region XII: SOCCSKSARGEN,COTABATO CITY (NOT A PROVINCE),686,16,472
Region XII: SOCCSKSARGEN,SARANGANI,270,8,155
Region XII: SOCCSKSARGEN,SOUTH COTABATO,1675,39,1246
Region XII: SOCCSKSARGEN,SULTAN KUDARAT,200,8,166
