region,province,confirmed,deaths,recovered
BARMM,BASILAN,151,3,133
BARMM,LANAO DEL SUR,718,25,492
BARMM,MAGUINDANAO,323,3,248
BARMM,SULU,42,4,34
BARMM,TAWI-TAWI,132,3,82
CAR,ABRA,92,1,79
CAR,APAYAO,39,0,34
CAR,BENGUET,1454,17,818
CAR,IFUGAO,60,0,36
CAR,KALINGA,182,0,170
CAR,MOUNTAIN PROVINCE,21,1,18
CARAGA,AGUSAN DEL NORTE,997,23,647
CARAGA,AGUSAN DEL SUR,114,0,84
CARAGA,DINAGAT ISLANDS,22,0,16
CARAGA,SURIGAO DEL NORTE,135,1,99
CARAGA,SURIGAO DEL SUR,274,10,136
NCR,NCR,143483,2647,123483
Region I: Ilocos Region,ILOCOS NORTE,180,1,138
Region I: Ilocos Region,ILOCOS SUR,143,1,132
Region I: Ilocos Region,LA UNION,502,14,366
Region I: Ilocos Region,PANGASINAN,1383,36,886
Region II: Cagayan Valley,BATANES,2,0,0
Region II: Cagayan Valley,CAGAYAN,563,5,421
Region II: Cagayan Valley,ISABELA,837,6,673
Region II: Cagayan Valley,NUEVA VIZCAYA,574,17,328
Region II: Cagayan Valley,QUIRINO,12,0,11
Region III: Central Luzon,AURORA,1,0,1
Region III: Central Luzon,BATAAN,2421,22,1866
Region III: Central Luzon,BULACAN,8674,108,6878
Region III: Central Luzon,NUEVA ECIJA,1068,15,724
Region III: Central Luzon,PAMPANGA,3370,48,2426
Region III: Central Luzon,TARLAC,569,11,382
Region III: Central Luzon,ZAMBALES,1156,6,770
Region IV-A: CALABARZON,BATANGAS,7824,105,5940
Region IV-A: CALABARZON,CAVITE,16523,152,13403
Region IV-A: CALABARZON,LAGUNA,16760,110,14417
Region IV-A: CALABARZON,QUEZON,2501,37,1748
Region IV-A: CALABARZON,RIZAL,12276,222,9900
Region IV-B: MIMAROPA,MARINDUQUE,77,1,43
Region IV-B: MIMAROPA,OCCIDENTAL MINDORO,180,4,116
Region IV-B: MIMAROPA,ORIENTAL MINDORO,822,15,543
Region IV-B: MIMAROPA,PALAWAN,424,4,353
Region IV-B: MIMAROPA,ROMBLON,60,0,54
Region IX: Zamboanga Peninsula,CITY OF ISABELA (NOT A PROVINCE),140,4,124
Region IX: Zamboanga Peninsula,ZAMBOANGA DEL NORTE,121,2,91
Region IX: Zamboanga Peninsula,ZAMBOANGA DEL SUR,2048,89,1595
Region IX: Zamboanga Peninsula,ZAMBOANGA SIBUGAY,67,0,62
Region V: Bicol Region,ALBAY,848,32,722
Region V: Bicol Region,CAMARINES NORTE,126,3,98
Region V: Bicol Region,CAMARINES SUR,1065,28,884
Region V: Bicol Region,CATANDUANES,105,2,85
Region V: Bicol Region,MASBATE,192,1,176
Region V: Bicol Region,SORSOGON,255,9,209
Region VI: Western Visayas,AKLAN,170,7,125
Region VI: Western Visayas,ANTIQUE,143,1,114
Region VI: Western Visayas,CAPIZ,578,20,394
Region VI: Western Visayas,GUIMARAS,159,1,124
Region VI: Western Visayas,ILOILO,4165,93,3162
Region VI: Western Visayas,NEGROS OCCIDENTAL,7460,146,5456
Region VII: Central Visayas,BOHOL,546,8,436
Region VII: Central Visayas,CEBU,21321,1239,18889
Region VII: Central Visayas,NEGROS ORIENTAL,290,5,235
Region VII: Central Visayas,SIQUIJOR,17,0,15
Region VIII: Eastern Visayas,BILIRAN,126,2,120
Region VIII: Eastern Visayas,EASTERN SAMAR,66,1,60
Region VIII: Eastern Visayas,LEYTE,2597,25,2188
Region VIII: Eastern Visayas,NORTHERN SAMAR,185,0,173
Region VIII: Eastern Visayas,SAMAR (WESTERN SAMAR),1738,14,1459
Region VIII: Eastern Visayas,SOUTHERN LEYTE,339,1,302
Region X: Northern Mindanao,BUKIDNON,388,5,250
Region X: Northern Mindanao,CAMIGUIN,29,0,27
Region X: Northern Mindanao,LANAO DEL NORTE,1280,35,1016
Region X: Northern Mindanao,MISAMIS OCCIDENTAL,314,2,283
Region X: Northern Mindanao,MISAMIS ORIENTAL,1351,25,830
Region XI: Davao Region,DAVAO DE ORO,238,1,201
Region XI: Davao Region,DAVAO DEL NORTE,374,4,294
Region XI: Davao Region,DAVAO DEL SUR,2386,79,1867
Region XI: Davao Region,DAVAO OCCIDENTAL,78,2,47
Region XI: Davao Region,DAVAO ORIENTAL,261,1,225
Region XII: SOCCSKSARGEN,COTABATO (NORTH COTABATO),231,2,179
Region XII: SOCCSKSARGEN,COTABATO CITY (NOT A PROVINCE),325,4,210
Region XII: SOCCSKSARGEN,SARANGANI,137,3,121
Region XII: SOCCSKSARGEN,SOUTH COTABATO,997,21,633
Region XII: SOCCSKSARGEN,SULTAN KUDARAT,134,4,106
