region,province,confirmed,deaths,recovered
BARMM,BASILAN,176,3,144
BARMM,LANAO DEL SUR,882,30,682
BARMM,MAGUINDANAO,427,5,310
BARMM,SULU,96,8,37
BARMM,TAWI-TAWI,140,4,115
CAR,ABRA,112,1,87
CAR,APAYAO,45,0,38
CAR,BENGUET,2269,27,1406
CAR,IFUGAO,82,0,52
CAR,KALINGA,199,0,171
CAR,MOUNTAIN PROVINCE,33,1,19
CARAGA,AGUSAN DEL NORTE,1454,42,962
CARAGA,AGUSAN DEL SUR,210,3,113
CARAGA,DINAGAT ISLANDS,26,0,21
CARAGA,SURIGAO DEL NORTE,324,10,142
CARAGA,SURIGAO DEL SUR,376,20,249
NCR,NCR,173105,3107,154898
Region I: Ilocos Region,ILOCOS NORTE,196,1,169
Region I: Ilocos Region,ILOCOS SUR,148,0,130
Region I: Ilocos Region,LA UNION,549,16,473
Region I: Ilocos Region,PANGASINAN,1925,57,1186
Region II: Cagayan Valley,BATANES,3,0,0
Region II: Cagayan Valley,CAGAYAN,735,7,537
Region II: Cagayan Valley,ISABELA,1338,10,812
Region II: Cagayan Valley,NUEVA VIZCAYA,606,17,549
Region II: Cagayan Valley,QUIRINO,18,0,12
Region III: Central Luzon,AURORA,26,0,2
Region III: Central Luzon,BATAAN,2763,34,2344
Region III: Central Luzon,BULACAN,10192,133,8371
Region III: Central Luzon,NUEVA ECIJA,1398,19,919
Region III: Central Luzon,PAMPANGA,4183,63,3204
Region III: Central Luzon,TARLAC,697,15,520
Region III: Central Luzon,ZAMBALES,1477,9,1109
Region IV-A: CALABARZON,BATANGAS,9626,129,7532
Region IV-A: CALABARZON,CAVITE,19291,171,16521
Region IV-A: CALABARZON,LAGUNA,18408,135,16369
Region IV-A: CALABARZON,QUEZON,3623,57,2279
Region IV-A: CALABARZON,RIZAL,14181,259,11650
Region IV-B: MIMAROPA,MARINDUQUE,119,1,77
Region IV-B: MIMAROPA,OCCIDENTAL MINDORO,231,6,182
Region IV-B: MIMAROPA,ORIENTAL MINDORO,946,17,755
Region IV-B: MIMAROPA,PALAWAN,512,4,403
Region IV-B: MIMAROPA,ROMBLON,70,0,58
Region IX: Zamboanga Peninsula,CITY OF ISABELA (NOT A PROVINCE),163,4,132
Region IX: Zamboanga Peninsula,ZAMBOANGA DEL NORTE,201,7,116
Region IX: Zamboanga Peninsula,ZAMBOANGA DEL SUR,2813,105,1867
Region IX: Zamboanga Peninsula,ZAMBOANGA SIBUGAY,92,0,65
Region V: Bicol Region,ALBAY,907,40,789
Region V: Bicol Region,CAMARINES NORTE,166,3,122
Region V: Bicol Region,CAMARINES SUR,1244,32,1001
Region V: Bicol Region,CATANDUANES,124,2,102
Region V: Bicol Region,MASBATE,213,1,186
Region V: Bicol Region,SORSOGON,326,11,241
Region VI: Western Visayas,AKLAN,207,7,168
Region VI: Western Visayas,ANTIQUE,163,1,138
Region VI: Western Visayas,CAPIZ,806,29,626
Region VI: Western Visayas,GUIMARAS,178,1,159
Region VI: Western Visayas,ILOILO,5510,125,4124
Region VI: Western Visayas,NEGROS OCCIDENTAL,8804,194,7074
Region VII: Central Visayas,BOHOL,638,9,521
Region VII: Central Visayas,CEBU,22045,1263,19865
Region VII: Central Visayas,NEGROS ORIENTAL,349,5,273
Region VII: Central Visayas,SIQUIJOR,22,0,17
Region VIII: Eastern Visayas,BILIRAN,129,2,123
Region VIII: Eastern Visayas,EASTERN SAMAR,84,1,64
Region VIII: Eastern Visayas,LEYTE,2975,31,2603
Region VIII: Eastern Visayas,NORTHERN SAMAR,383,1,189
Region VIII: Eastern Visayas,SAMAR (WESTERN SAMAR),2056,15,1734
Region VIII: Eastern Visayas,SOUTHERN LEYTE,480,2,342
Region X: Northern Mindanao,BUKIDNON,636,7,385
Region X: Northern Mindanao,CAMIGUIN,40,0,30
Region X: Northern Mindanao,LANAO DEL NORTE,1537,43,1237
Region X: Northern Mindanao,MISAMIS OCCIDENTAL,449,4,309
Region X: Northern Mindanao,MISAMIS ORIENTAL,2084,38,1263
Region XI: Davao Region,DAVAO DE ORO,268,2,235
Region XI: Davao Region,DAVAO DEL NORTE,470,5,356
Region XI: Davao Region,DAVAO DEL SUR,3201,102,2206
Region XI: Davao Region,DAVAO OCCIDENTAL,104,2,75
Region XI: Davao Region,DAVAO ORIENTAL,291,2,251
Region XII: SOCCSKSARGEN,COTABATO (NORTH COTABATO),302,2,224
Region XII: SOCCSKSARGEN,COTABATO CITY (NOT A PROVINCE),512,9,313
Region XII: SOCCSKSARGEN,SARANGANI,165,6,125
Region XII: SOCCSKSARGEN,SOUTH COTABATO,1329,32,921
Region XII: SOCCSKSARGEN,SULTAN KUDARAT,178,7,128
